v,Q,ln y,D age,ln PSL,ln PAL,SL,D lake,N
113,2.9999999999999996,1.6853600264786601,1,0.0,-0.6970094844602279,0.0,0,2741.0
114,2.0,1.6432052530407328,0,-0.34736800626284514,-0.34076106365774606,0.0856579712714059,0,10507.0
119,3.0000000000000004,1.6725507593812268,1,0.0,-1.2184236525581895,0.0,0,1792.0
120,3.0,1.7103418377563877,0,0.0,-0.23162379074341521,0.0,0,34565.0
121,3.0,1.726028223239814,0,0.0,-0.44164025962954095,0.0,0,81735.0
122,3.0,1.8782885410779668,0,0.0,-0.4164281624385179,0.0,0,15309.0
123,3.0,1.8157063366484665,0,0.0,-0.7093874204492862,0.0,0,36342.0
124,3.0,1.775312252821177,0,0.0,-0.4939246874350182,0.0,0,33961.0
125,3.0,2.015245887193785,0,0.0,-0.4797225330542715,0.0,0,2943.0
127,3.0,1.8694760630629073,1,0.0,-0.37129129105774533,0.0,0,766.0
128,2.9999999999999996,1.7798865139904168,0,0.0,-0.3988368052890993,0.0,0,43737.0
129,3.0,1.61913392540015,0,0.0,-0.4772640932611675,0.0,0,2529.0
130,3.0,1.6928548155553333,0,0.0,-0.3619391925675476,0.0,0,984.0
131,3.0,1.725050456356793,0,0.0,-0.4705724074294931,0.0,0,56851.0
132,3.0,1.752432422172885,0,0.0,-0.4999650933009744,0.0,0,60138.0
133,2.9999999999999996,1.7665316226629029,1,0.0,-0.8192172000765088,0.0,0,1051.0
136,3.0,1.7972719900177112,0,0.0,-0.5786805879622985,0.0,0,161871.0
137,3.0,1.6908241223126503,0,0.0,-0.24953663007035887,0.0,0,2837.0
138,3.0,1.6986630447939617,1,0.0,-0.7399769605495168,0.0,0,2692.0
139,3.0,1.5521060409203598,1,0.0,0.0,0.0,0,82.0
140,3.0,1.644539075057518,0,0.0,-0.6006615521453567,0.0,0,18756.0
141,3.0,1.6521825376487076,1,0.0,-1.6457002544010422,0.0,0,3782.0
142,2.0,1.5171493294235447,1,4.218847493575586e-15,-0.5303005898692718,0.022559917431177898,0,32.0
144,3.0,1.4779214757640318,1,0.0,-0.44727459267826825,0.0,0,625.0
145,3.0,1.8458398548122714,0,0.0,-0.5458509059253458,0.0,0,37130.0
146,3.0,1.808969967319035,0,0.0,-0.33752718282793215,0.0,0,8044.0
147,2.0,1.7580376417651797,0,-2.319881205368298,-0.610826900514563,0.067493124607455,0,140462.0
154,3.0,1.4057016244980676,1,0.0,-1.5573901287579945,0.0,0,1028.0
157,3.0,1.683452517829282,0,0.0,-0.4881697777810622,0.0,0,31901.0
158,3.0,1.7590792006903957,0,0.0,-0.394428795186306,0.0,0,23345.0
159,3.0,1.7182268511115824,0,0.0,-0.48779910483210226,0.0,0,10956.0
160,3.0,1.6544388083693786,1,0.0,-0.5204742862241795,0.0,0,6923.0
165,2.9999999999999996,1.7899867510068999,0,0.0,-0.32641633327787273,0.0,0,39611.0
200,1.0,1.8954673829199966,1,-1.3873022394463799,-0.9813051918386348,0.097294834531165,0,31747.0
201,3.0,1.8554206668919973,0,0.0,-0.5532612815795274,0.0,0,140081.0
204,3.0,1.7155720889096855,0,0.0,-0.3892511301792187,0.0,0,45703.0
206,1.0,1.630906912120953,1,-0.21656161741521107,-0.4184782823082647,0.155271628419449,0,8188.0
207,1.0,1.4671896333936587,1,-1.0199921248152526,-0.2098802561919493,0.066545367680082,0,9621.0
208,3.0,1.5226538582651339,1,0.0,-0.1379413552874133,0.0,0,4953.0
209,2.0,1.593419171895459,1,-0.7683068951873161,-0.2955570529742935,0.116009003982149,0,5803.0
212,3.0,1.6032278560856659,1,0.0,-0.7672619337820028,0.0,0,4291.0
214,3.0,1.6062949909088517,0,0.0,-0.43437437872031187,0.0,0,29506.0
216,2.0,1.6482963988213462,1,-0.8977054645690247,-0.30811582353672207,0.185298232444874,0,9128.0
217,2.0,1.7030718800887166,1,-0.8735835918822366,-0.36200724541324864,0.139507951083125,0,6789.0
219,2.0,1.7654135967063218,1,-0.6483346562112121,-0.3269725476885684,0.219353552794644,0,8619.0
221,0.0,1.6565839626654648,0,-1.9544536605112866,-0.770183928329694,0.228051877021063,0,34306.0
222,2.0,1.6582477406397231,0,-2.2313394250299674,-0.5068794432922267,0.0880209661493178,0,13259.0
224,3.0,1.7270803544562756,0,0.0,-0.2638383501932652,0.0,0,9968.0
225,3.0,1.6387653056288765,1,0.0,-0.9243544429633865,0.0,0,28178.0
231,3.0,1.7052320095061138,0,0.0,-1.2390167406448969,0.0,0,30692.0
232,3.0000000000000004,1.6510317606561027,1,0.0,-0.42392333832794804,0.0,0,11820.0
233,3.0,1.6366925457299144,1,0.0,-0.31940470017562256,0.0,0,22714.0
234,3.0000000000000004,1.596383989286037,1,0.0,-0.36481547045545226,0.0,0,10538.0
235,3.0,1.6976289641855382,0,0.0,-0.4162165466569974,0.0,0,137376.0
236,3.0,1.6496440497208114,0,0.0,-0.4372738295220268,0.0,0,14971.0
238,3.0,1.737220419471176,0,0.0,-0.33126078425478106,0.0,0,7572.0
