,n,Obs,No dummies,Small,Medium,Large,Soft bottom,Natural,DK2,"Soft bottom, Small","Soft bottom, Medium","Soft bottom, Large","Soft bottom, Natural","Soft bottom, DK2","Soft bottom, Natural, Small","Soft bottom, Natural, Medium","Soft bottom, Natural, Large","Soft bottom, Natural, DK2","Soft bottom, Natural, Large, Small","Soft bottom, Natural, Large, Medium","Soft bottom, Natural, Large, DK2"
2011,231.0,0.6190476190476191,0.4612085769980507,0.4651072124756335,0.4639376218323586,0.4584795321637427,0.4651072124756335,0.4803118908382066,0.4627680311890838,0.4639376218323586,0.4690058479532163,0.4619883040935672,0.4830409356725146,0.4674463937621832,0.4846003898635477,0.4865497076023392,0.4810916179337232,0.487719298245614,0.4814814814814814,0.4799220272904483,0.4834307992202729
2012,231.0,0.5757575757575758,0.4011695906432748,0.4058479532163743,0.4031189083820662,0.4011695906432748,0.4077972709551657,0.4230019493177387,0.4015594541910331,0.4097465886939571,0.4105263157894737,0.4077972709551657,0.4292397660818713,0.4054580896686159,0.426120857699805,0.4265107212475633,0.4292397660818713,0.4237816764132553,0.4265107212475633,0.4269005847953216,0.4245614035087719
2013,261.0,0.5095785440613027,0.4113060428849902,0.4116959064327485,0.4109161793372319,0.4066276803118908,0.4109161793372319,0.4233918128654971,0.4046783625730994,0.4140350877192982,0.4140350877192982,0.4105263157894737,0.4280701754385965,0.4089668615984405,0.4272904483430799,0.4276803118908382,0.4280701754385965,0.4237816764132553,0.4269005847953216,0.4276803118908382,0.4230019493177387
2014,551.0,0.3176043557168784,0.3762183235867446,0.378167641325536,0.3766081871345029,0.3762183235867446,0.3840155945419103,0.3785575048732943,0.3777777777777777,0.3828460038986355,0.3828460038986355,0.3844054580896686,0.3859649122807017,0.380896686159844,0.38635477582846,0.3859649122807017,0.3859649122807017,0.3855750487329434,0.38635477582846,0.38635477582846,0.3867446393762183
2015,186.0,0.2741935483870967,0.3727095516569201,0.3746588693957115,0.3738791423001949,0.378167641325536,0.3785575048732943,0.3879142300194931,0.3727095516569201,0.3785575048732943,0.3789473684210526,0.380896686159844,0.3894736842105263,0.3750487329434698,0.3886939571150097,0.3922027290448343,0.3894736842105263,0.3855750487329434,0.3894736842105263,0.3925925925925926,0.38635477582846
2016,227.0,0.3127753303964757,0.3668615984405458,0.3668615984405458,0.3645224171539961,0.3668615984405458,0.3692007797270955,0.3711500974658869,0.3684210526315789,0.3692007797270955,0.3692007797270955,0.3695906432748538,0.3750487329434698,0.3699805068226121,0.3750487329434698,0.3750487329434698,0.3746588693957115,0.3746588693957115,0.3750487329434698,0.3750487329434698,0.3746588693957115
2017,581.0,0.4681583476764199,0.3762183235867446,0.3785575048732943,0.3766081871345029,0.3762183235867446,0.3847953216374269,0.3773879142300195,0.3773879142300195,0.3851851851851852,0.3851851851851852,0.3847953216374269,0.38635477582846,0.3820662768031189,0.3867446393762183,0.38635477582846,0.38635477582846,0.3844054580896686,0.3867446393762183,0.38635477582846,0.3844054580896686
2018,542.0,0.4280442804428044,0.3723196881091618,0.3750487329434698,0.3727095516569201,0.3727095516569201,0.3828460038986355,0.3766081871345029,0.3777777777777777,0.3828460038986355,0.383625730994152,0.383625730994152,0.38635477582846,0.3816764132553606,0.3847953216374269,0.3851851851851852,0.38635477582846,0.3847953216374269,0.3855750487329434,0.3855750487329434,0.3840155945419103
2019,250.0,0.372,0.375438596491228,0.3762183235867446,0.3711500974658869,0.375438596491228,0.383625730994152,0.3855750487329434,0.3680311890838206,0.3824561403508772,0.3824561403508772,0.3832358674463937,0.3964912280701754,0.3766081871345029,0.3867446393762183,0.3879142300194931,0.3961013645224172,0.3793372319688109,0.3867446393762183,0.3879142300194931,0.3793372319688109
2020,393.0,0.3053435114503817,0.3586744639376218,0.3598440545808967,0.3621832358674464,0.3590643274853801,0.3610136452241715,0.3684210526315789,0.3399610136452242,0.3664717348927875,0.3680311890838206,0.362962962962963,0.3734892787524366,0.3442495126705653,0.3793372319688109,0.3777777777777777,0.3742690058479532,0.3500974658869396,0.3789473684210526,0.3812865497076023,0.352046783625731
Total,4865.0,0.4495375128468654,0.45090496024233245,0.4504547539912931,0.4508706618664968,0.45160543244602314,0.4549219571711052,0.4576467547766298,0.4490782511835143,0.4538432411965164,0.4549960833338342,0.4558186032627532,0.4619540858541236,0.4518415142572658,0.4593190410077952,0.4609016546161567,0.46273261090375817,0.45692160056416015,0.46066829744224663,0.46170341921951163,0.45813133953989693
