wb,ov_typ,distr_id,na_kun_stm,length,Basis
316,RW1,DK1,Naturlig,2.219485072137942,2.0
317,RW1,DK1,Kunstig,0.3117513188390677,
318,RW2,DK2,Naturlig,1.3095200505540776,2.0
322,RW1,DK1,Naturlig,1.394024976647511,
323,RW1,DK1,Naturlig,0.24566248061742657,3.0
325,RW2,DK1,Naturlig,18.2156321933725,4.0
326,RW2,DK4,Naturlig,23.843073215439873,3.0
327,RW1,DK1,Naturlig,1.3476778528974518,1.0
328,RW1,DK1,Naturlig,0.4470840962167956,2.0
330,RW1,DK1,Stærkt modificeret,1.3615513359538496,
331,RW3,DK1,Naturlig,16.54588426937022,4.0
336,RW1,DK1,Stærkt modificeret,4.408719796979497,0.0
337,RW1,DK3,Naturlig,1.0418624054786434,3.0
338,RW1,DK1,Naturlig,0.6232454038172595,
341,RW1,DK2,Naturlig,2.480382348335185,0.0
342,RW1,DK1,Naturlig,0.5970305828877953,
343,RW1,DK1,Naturlig,1.3435609219992113,
345,RW1,DK1,Naturlig,0.22872512381113175,3.0
346,RW1,DK1,Naturlig,0.233969152596576,3.0
349,RW1,DK1,Naturlig,16.541847486200982,2.0
355,RW2,DK1,Naturlig,25.97995681908061,2.0
356,RW1,DK1,Naturlig,9.216699417154157,4.0
358,RW1,DK1,Naturlig,11.017926472749783,2.0
361,RW1,DK1,Naturlig,0.3141871750913072,
362,RW1,DK1,Stærkt modificeret,2.514717353983535,
363,RW1,DK1,Stærkt modificeret,3.1985538025082705,
364,RW1,DK1,Naturlig,0.7454024010708518,3.0
366,RW1,DK1,Naturlig,1.6805762723388837,2.0
367,RW1,DK1,Kunstig,1.0129618437968262,4.0
368,RW1,DK1,Naturlig,1.1261414760507487,3.0
371,RW1,DK2,Naturlig,2.331769327332527,1.0
372,RW1,DK2,Naturlig,1.0987374779471444,1.0
373,RW1,DK1,Naturlig,1.2282379269195207,2.0
376,RW2,DK1,Naturlig,21.92524515611969,2.0
377,RW1,DK1,Naturlig,0.26017229300842126,3.0
378,RW1,DK1,Kunstig,1.3188949891473754,2.0
379,RW1,DK1,Naturlig,0.2086757425838325,
380,RW1,DK1,Naturlig,1.471804360036189,
382,RW1,DK1,Naturlig,1.530690122848425,
386,RW1,DK2,Naturlig,1.1807544718359924,0.0
388,RW2,DK4,Naturlig,27.349545955353133,4.0
391,RW1,DK1,Kunstig,1.0176657036553087,4.0
394,RW1,DK2,Naturlig,0.9526220857776327,0.0
400,RW1,DK1,Naturlig,1.4452301815306787,
401,RW1,DK1,Naturlig,1.8217450196222602,2.0
407,RW1,DK1,Naturlig,0.48663764238668256,3.0
410,RW1,DK1,Naturlig,7.142088452164182,4.0
412,RW1,DK1,Naturlig,0.19475622373194273,
414,RW1,DK1,Kunstig,1.4108519728033044,
416,RW1,DK2,Naturlig,1.7013437288392457,1.0
419,RW2,DK2,Kunstig,1.0427250174626577,
