wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
131,101.0,98.0,94.0,48.0,72.0,76.0,92.0,91.0,67.0,78.0,77.0,102.0,52.0,64.0,41.0,54.0,55.0,53.0,27.0,18.0,19.0,,,44.0,,,,,,,17.0,22.0,28.0,27.0,,,34.0
132,52.0,53.0,39.0,56.0,54.0,60.0,47.0,62.0,45.0,27.0,7.0,7.0,7.0,8.0,7.0,11.0,11.0,12.0,15.0,16.0,19.0,7.0,6.0,9.0,7.0,8.0,6.0,6.0,7.0,5.0,8.0,9.0,56.0,14.0,7.0,6.0,11.0
133,,,2.0,9.0,8.0,7.0,7.0,13.0,6.0,4.0,5.0,6.0,5.0,3.0,6.0,4.0,5.0,2.0,5.0,6.0,20.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,8.0,3.0,4.0,3.0,3.0,6.0,3.0,4.0
136,,,,,22.0,20.0,12.0,27.0,19.0,11.0,19.0,15.0,16.0,6.0,11.0,12.0,7.0,8.0,8.0,13.0,8.0,,6.0,7.0,14.0,6.0,8.0,8.0,12.0,8.0,7.0,14.0,18.0,10.0,13.0,20.0,14.0
137,,,5.0,3.0,5.0,6.0,4.0,5.0,4.0,4.0,8.0,7.0,5.0,6.0,7.0,6.0,4.0,9.0,11.0,10.0,,,5.0,,,,,,,9.0,8.0,5.0,,,7.0,,5.0
138,,,1.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,1.0
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
141,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,1.0,1.0,
142,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,3.0,1.0,1.0,,2.0,2.0,,2.0
144,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,2.0,2.0,,,3.0,2.0,
145,,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,1.0
146,,,,,,9.0,,,,,,,,,,,,,7.0,7.0,,,,,,6.0,,,,6.0,3.0,3.0,,,5.0,9.0,
147,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,22.0,13.0,9.0,9.0,23.0,14.0,11.0,28.0,15.0,12.0,22.0,8.0,14.0,11.0,11.0,15.0,12.0,7.0,7.0,14.0,11.0,14.0,7.0,5.0,9.0,7.0,9.0,15.0,7.0,10.0,17.0,15.0,12.0,15.0,10.0,17.0,9.0
158,79.0,111.0,93.0,96.0,92.0,103.0,122.0,93.0,66.0,72.0,59.0,25.0,,,,,,,,,21.0,,,,41.0,34.0,35.0,35.0,32.0,14.0,,13.0,28.0,61.0,,22.0,16.0
159,14.0,15.0,9.0,,,,,,,,,,,,,27.0,29.0,23.0,26.0,33.0,19.0,28.0,,13.0,9.0,18.0,27.0,21.0,18.0,20.0,17.0,37.0,17.0,19.0,15.0,16.0,14.0
160,8.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,4.0,,,11.0,,6.0
165,,,,4.0,5.0,5.0,7.0,8.0,5.0,3.0,20.0,4.0,9.0,3.0,5.0,5.0,6.0,3.0,4.0,6.0,5.0,4.0,5.0,5.0,,,,,,4.0,2.0,4.0,,,5.0,6.0,
200,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,1.0,,,,,1.0,0.0,1.0,1.0,0.0,1.0,,,1.0,1.0,1.0,,1.0
201,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0
