wb,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
146,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
149,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,3,3,4
150,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2
151,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,4,3,3,3,3
152,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2
159,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,2,2
161,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
163,2,2,2,2,3,2,2,2,3,2,2,2,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3
165,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3
167,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4
168,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
172,2,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
173,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2
175,2,1,1,2,2,2,2,2,3,2,1,3,3,3,3,3,3,2,3,3,2,1,2,2,2,2,2,2,3,2,2,2
177,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,2,3,2,2
179,2,2,2,3,2,3,2,2,2,2,2,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,4,3
182,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
185,2,1,2,2,2,2,2,2,3,3,4,3,1,2,3,2,3,3,2,3,3,3,3,2,3,3,3,3,4,3,3,2
186,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,3,3
188,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,2,2,3,3
192,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3
195,2,1,2,1,2,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
197,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
198,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
199,1,2,1,2,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2
200,1,1,2,2,2,1,1,0,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,3
201,2,2,2,2,2,2,2,3,2,3,3,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,4
202,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
203,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
207,1,1,1,3,3,2,3,3,2,3,3,3,2,3,4,3,4,3,3,3,4,3,4,3,4,4,4,3,3,3,3,4
208,2,2,1,2,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3
