wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,
128,,,,,,,,,,,,,,,,,,,,255.0,,,28.0,,,136.0,,,10.0,,,10.0,,,17.0,,
129,,,118.0,,,,,,,,,,,,,42.0,,,,,,,,,60.0,,,,,,56.0,,,,,,15.0
135,,414.0,,452.0,,,,198.0,,,,,205.0,,,,,,,,,,,,125.0,,,,,189.0,,,,,,298.0,
136,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,65.0,,,
137,,77.0,56.0,54.0,,,,57.0,,,,,,,,38.0,,,,34.0,,,43.0,,,,,,52.0,,,,,,46.0,,41.0
139,,,,,,,,,90.0,49.0,41.0,51.0,93.0,,,,,,,,,,13.0,,,,,18.0,,,,,,38.0,,,
140,,,,,,,96.0,,,,,,,,,,,,,,3.0,,,,,,,,,15.0,,,9.0,,,,
141,,,,,,238.0,,115.0,,,214.0,,,203.0,,,161.0,,,99.0,,,83.0,,,,,,96.0,,,,,,66.0,,
143,,115.0,,,61.0,,,,,,,,,45.0,,,,,,,,95.0,,,,,,117.0,,,,,,136.0,,,
144,,16.0,,35.0,38.0,63.0,25.0,28.0,33.0,27.0,25.0,27.0,51.0,45.0,27.0,64.0,,,,27.0,,,22.0,,,6.0,,,,,,23.0,,,4.0,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,
146,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,53.0,,,,,,89.0,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,
148,,,,159.0,,,,,128.0,,,,,90.0,,86.0,,,,66.0,,,44.0,,,,95.0,,,,,,94.0,,,,
149,,,,,,,,175.0,84.0,201.0,,,,,,,113.0,,,86.0,,,24.0,,,39.0,,,30.0,,,21.0,,,44.0,,
