,n,Obs,No dummies,Alkalinity,Brown,Saline,Deep,DK2,"Saline, Alkalinity","Saline, Brown","Saline, Deep","Saline, DK2","Saline, Brown, Alkalinity","Saline, Brown, Deep","Saline, Brown, DK2"
2011,41.0,0.5853658536585366,0.6572104018912529,0.6430260047281324,0.6288416075650118,0.6335697399527187,0.6359338061465721,0.6524822695035462,0.6335697399527187,0.6193853427895981,0.6312056737588653,0.6335697399527187,0.6264775413711584,0.6193853427895981,0.6193853427895981
2012,43.0,0.4186046511627907,0.7966903073286052,0.8132387706855791,0.75177304964539,0.5862884160756501,0.7754137115839244,0.7990543735224587,0.6028368794326241,0.5981087470449172,0.7919621749408984,0.7990543735224587,0.6170212765957447,0.7848699763593381,0.7328605200945626
2013,45.0,0.7555555555555555,0.789598108747045,0.7872340425531915,0.8085106382978723,0.7825059101654847,0.7990543735224587,0.7943262411347518,0.7848699763593381,0.7943262411347518,0.7801418439716312,0.7872340425531915,0.7966903073286052,0.7966903073286052,0.8014184397163121
2014,43.0,0.6046511627906976,0.5650118203309693,0.5650118203309693,0.5673758865248227,0.5626477541371159,0.5697399527186762,0.5673758865248227,0.5531914893617021,0.5602836879432624,0.5626477541371159,0.5602836879432624,0.5602836879432624,0.5721040189125296,0.5602836879432624
2015,43.0,0.5581395348837209,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849,0.9550827423167849
2016,61.0,0.5409836065573771,0.5768321513002365,0.5839243498817966,0.5862884160756501,0.5791962174940898,0.5815602836879432,0.5839243498817966,0.5791962174940898,0.5815602836879432,0.5791962174940898,0.5791962174940898,0.5839243498817966,0.5791962174940898,0.5839243498817966
2017,72.0,0.5416666666666666,0.5650118203309693,0.5697399527186762,0.5650118203309693,0.5650118203309693,0.5626477541371159,0.5626477541371159,0.5650118203309693,0.5673758865248227,0.5650118203309693,0.5673758865248227,0.5673758865248227,0.5673758865248227,0.5673758865248227
2018,78.0,0.6923076923076923,0.5650118203309693,0.5626477541371159,0.5626477541371159,0.5650118203309693,0.5626477541371159,0.5650118203309693,0.5673758865248227,0.5650118203309693,0.5721040189125296,0.5697399527186762,0.5673758865248227,0.5721040189125296,0.5673758865248227
2019,69.0,0.6231884057971014,0.7565011820330969,0.75177304964539,0.7565011820330969,0.7470449172576832,0.7541371158392435,0.7399527186761229,0.7470449172576832,0.75177304964539,0.7470449172576832,0.7494089834515366,0.7494089834515366,0.735224586288416,0.7399527186761229
2020,71.0,0.6338028169014085,0.6501182033096927,0.6477541371158393,0.6524822695035462,0.6548463356973995,0.6501182033096927,0.6619385342789598,0.6643026004728132,0.6501182033096927,0.6501182033096927,0.6524822695035462,0.6524822695035462,0.6430260047281324,0.6453900709219859
Total,813.0,0.5904059040590406,0.7531484534703503,0.7548175481754819,0.7504267241253972,0.7357916132352812,0.7506389957516596,0.7535875358753588,0.7424447294118331,0.7369576532644759,0.7484115975911533,0.7494177069430269,0.7429216136132992,0.7471554148165596,0.7444365933021032
