wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
117,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,3.0,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,0.0,,,,,,0.0,,,
123,,1.0,,0.0,,,,,,,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,,1.0,,,,,,2.0,,,0.0,,,2.0,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,4.0
125,,,,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,3.0,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
128,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,0.0,,,4.0,,,4.0,,,3.0,,
129,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,3.0
135,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,
136,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,
137,0.0,0.0,1.0,,,,0.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,1.0
139,,,,,,,,0.0,2.0,2.0,2.0,0.0,,,,,,,,,,3.0,,,,,3.0,,,,,,2.0,,,
140,,,,,,0.0,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,4.0,,,,
141,,,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,,,,0.0,,,,,,1.0,,
143,0.0,,,1.0,,,,,,,,,2.0,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,
144,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,2.0,,,3.0,,,4.0,,,,,,3.0,,,4.0,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
146,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,1.0,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
148,,,0.0,,,,,0.0,,,,,0.0,,1.0,,,,1.0,,,2.0,,,,0.0,,,,,,0.0,,,,
149,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,1.0,,,3.0,,,2.0,,,2.0,,,3.0,,,2.0,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,2.0
156,,2.0,,,,2.0,,,,,,,3.0,,,,,,2.0,,,3.0,,,2.0,,,2.0,,,1.0,,,,,
157,1.0,,0.0,,,,,1.0,,,2.0,,,,,2.0,,,,1.0,,,,,2.0,,,,,1.0,,,,,,0.0
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,3.0
161,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,1.0,,0.0,,,,
166,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
167,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,2.0,
169,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,0.0,0.0,,,1.0,,,,,,2.0,,,2.0,,,,2.0,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0
179,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,
180,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,,,,,1.0,,0.0,,,,,,2.0,,,
181,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,4.0,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0
183,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,4.0,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,
185,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,2.0,,,,,,1.0
187,,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,,1.0,,2.0,,3.0,,2.0,
189,,,3.0,,0.0,,2.0,,3.0,,2.0,,,2.0,,0.0,,,2.0,,,,,,3.0,,,,,,0.0,,,,,
190,0.0,1.0,,2.0,2.0,,0.0,,2.0,1.0,2.0,1.0,2.0,,,1.0,0.0,,,1.0,,,4.0,,,4.0,,,4.0,,,,2.0,,2.0,
191,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,1.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0
193,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,3.0,,,,,,4.0,,,
194,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,0.0,,
195,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,2.0,
196,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,
197,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,,0.0,,,3.0,,,3.0,,,1.0,,,0.0,,
198,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,
199,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,4.0,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,2.0,,,,,,4.0,,,,4.0,,,,4.0,,,4.0,,,4.0,,,,,,4.0,,,2.0,,,4.0,,
202,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,,0.0,,,0.0,,,1.0,,0.0,,,0.0,,,1.0,,,0.0,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
206,,,1.0,0.0,,,0.0,,,1.0,,1.0,,,1.0,,,,,,3.0,,,4.0,,,2.0,,,3.0,,,1.0,,,2.0
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,4.0
208,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,4.0,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,
213,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,1.0,,,2.0,,,0.0,,,1.0,,,0.0,,,,,,1.0
214,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0
215,,,0.0,0.0,,,0.0,,,0.0,,1.0,,,0.0,,,,,,1.0,,,1.0,,,2.0,,,4.0,,,3.0,,,2.0
220,,0.0,,,0.0,,,1.0,,1.0,0.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0
221,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,
222,,1.0,,3.0,,4.0,,2.0,,4.0,3.0,,2.0,4.0,4.0,,,1.0,,,,,,0.0,,,,,,2.0,,,,,,0.0
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,3.0,,,,
226,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,,,2.0,,,,3.0,,0.0,,,0.0,,,1.0,,,1.0,
227,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,
229,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,0.0,,,2.0,,,,1.0,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,0.0,,,,,,2.0
232,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
