wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
633,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
634,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
635,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,
636,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0
637,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
638,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
639,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0
640,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,
641,,,,1.0,,,,,,,0.0,2.0,3.0,1.0,0.0,,,,,,,,,,,1.0,,,,,,2.0,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,
645,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,4.0,,,
646,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,3.0,
650,,,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,2.0,,,0.0,,,1.0,,,,,,2.0,
651,,,1.0,,0.0,,,,,,,,0.0,,,1.0,,,,,,,,1.0,,,,,,0.0,,,,,,1.0
653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,
655,,,,1.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,1.0,,,,2.0,,,,,,2.0,,
656,,2.0,,2.0,,,2.0,,2.0,,,2.0,,,3.0,,,2.0,,,2.0,,,,2.0,,,,,,,2.0,,,2.0,
657,,,,2.0,,,,,,1.0,,1.0,,,2.0,,,,,,2.0,,,1.0,,,,2.0,,,,,,3.0,,
658,,,,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,2.0,,,,2.0,,,2.0
659,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,3.0
661,,,,,,4.0,,,,,,,4.0,,,4.0,,,4.0,,,4.0,,,,,,,,,,,4.0,,,
662,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,0.0,,,0.0,,,0.0,,,,
663,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,3.0,,,3.0,
664,,,,,,,,,,,,,3.0,,,4.0,,,4.0,,,,,,,,,,,,,,2.0,,,
665,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,0.0,
666,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,2.0,,
669,,,,,,,,,4.0,,,,2.0,,,1.0,,,1.0,,,1.0,,,,,,2.0,,,0.0,,,3.0,,
670,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,
671,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0
672,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0
673,,,0.0,,,,,,,,0.0,,,2.0,,,1.0,,,1.0,,,,,,,2.0,,,1.0,,,,,2.0,
674,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,4.0,,,
675,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,
676,0.0,,,,,2.0,,,,,,,,2.0,,,1.0,,,1.0,,,2.0,,,,1.0,,1.0,,,2.0,,,0.0,
678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,
680,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,0.0
681,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,
682,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,2.0,,,1.0,,,3.0,,,1.0
683,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,
684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,
685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,1.0,,,0.0,,,,0.0,,,,,,0.0,,,,,
688,,,,,,3.0,,,,,2.0,,,3.0,,,,,,,,,,,3.0,,,,4.0,,,,,,,4.0
691,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
692,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,3.0
693,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.0,,,
694,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,0.0,,,,,
695,,,,,,,,,,,,,,,,,2.0,,,0.0,,,3.0,,,,,0.0,4.0,,,4.0,,,0.0,
696,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,1.0,,,,,0.0,,,,,,0.0
703,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,1.0,,,,
704,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,
706,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
709,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,1.0,,,,1.0,,,,,,0.0,,,,,
710,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,3.0,,,,
712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,
714,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,,3.0,,4.0,,4.0,,3.0,
716,,,,,,,,,,,,,,,,3.0,,,4.0,,,4.0,,,,,,,,4.0,,,,,,4.0
717,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,1.0,,,1.0,,
718,,,,,,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,4.0
719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,
722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,,,,,,,1.0,0.0,,0.0,2.0,1.0,,1.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,
724,,,,,,,,,,0.0,,,,,,0.0,0.0,1.0,1.0,,,,,2.0,,,,,,2.0,,,,,,2.0
725,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,
726,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,
727,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,0.0,
728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
729,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,
730,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,,,2.0,,,,2.0,,,,,,3.0,,,2.0,
731,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,,2.0,,,4.0,,,
732,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,1.0,,,
736,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,3.0,,,,,,4.0,,
739,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,,,1.0,2.0,1.0,,2.0,,,,,,1.0,,,,,
740,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,2.0,,,,,,2.0,,,,
741,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,
742,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,0.0,,,1.0
744,3.0,,,,,,,,,,,,3.0,,,1.0,,,0.0,,,2.0,,,0.0,,,2.0,,,,,,0.0,,
745,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,
746,,,4.0,3.0,2.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,,,,,3.0,,,,,,,4.0,,,4.0
748,,2.0,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,3.0,,,,2.0,,1.0,,,,,,1.0,
749,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,2.0,2.0,0.0,,,,,1.0,,,,,,4.0,,,4.0,,2.0
751,,,4.0,,,,,,,2.0,4.0,,,3.0,,,,,,,,,,,,4.0,,,,,,4.0,,,,
752,3.0,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,3.0,,,2.0,,,1.0,,,1.0,,,,,,3.0
754,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,,3.0,,2.0,,2.0,,3.0
756,,,,,,,3.0,4.0,4.0,,4.0,4.0,,,4.0,,,4.0,,,4.0,,,4.0,,,,,,4.0,,,,,,4.0
757,,,,2.0,,,,,,,2.0,,,1.0,,,2.0,,,3.0,,,2.0,,,,,2.0,1.0,,,,2.0,,1.0,
758,,1.0,,,,,,,,,,,1.0,,,0.0,,,,,1.0,,,2.0,,,,,,2.0,,,0.0,,,1.0
760,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,4.0
761,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0
762,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,
763,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0
766,0.0,,,,,,,,1.0,0.0,,,0.0,0.0,1.0,1.0,,1.0,,,0.0,,,,2.0,,,,,,0.0,,,,,
767,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,2.0,,,,2.0
774,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,3.0,,,3.0,,,,,3.0,,,,,,,4.0,,
775,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,2.0
776,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,,2.0,,,1.0,,,,,,,,1.0,,,2.0,
777,,0.0,1.0,,,,,2.0,,,,1.0,,,1.0,,,,,,,0.0,,,,,0.0,,,,0.0,,3.0,,,2.0
779,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,
780,,,,,,,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,,,4.0,,,,,,0.0,,,,,3.0,,,4.0
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,
783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,3.0,,
786,1.0,,,0.0,1.0,1.0,,,,,,,,,0.0,,,,,0.0,,,,,2.0,,,,,,1.0,,,,,
788,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,4.0,,,1.0,,3.0
789,0.0,,,0.0,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,,,,0.0,,,,,,0.0,,
791,,,,,,,,,,,,,,,,,3.0,,,3.0,,,4.0,,,,,,4.0,,,,,,0.0,
792,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,
793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0,,2.0,,,,,,,4.0,,,,,,,3.0,,
794,1.0,,,,0.0,,,2.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,,2.0,,,,,0.0,,0.0,,,,0.0,,,,,,1.0
796,,,,,,,,,,,,3.0,,,1.0,,0.0,,,4.0,,,,,2.0,,,,,,1.0,,,,,
799,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,4.0,,,,
801,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,4.0,,,,,,
805,0.0,,,,,,,,,,1.0,0.0,,,,,,,,,2.0,,,,,,,2.0,,,0.0,,,2.0,,
808,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,1.0,,,,,,2.0,
809,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,4.0,
810,,4.0,,,,,,,,4.0,,,,,,,2.0,,,3.0,,,,3.0,,,4.0,,,3.0,,,,,,3.0
811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,4.0,,,4.0,,,,,,,4.0,,,,,4.0,,,4.0,,3.0,,,,,,,,4.0,,,,,,,
813,,,0.0,,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,1.0,,,2.0,,,1.0,,,1.0,,,,0.0,,1.0,
814,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,3.0,,,,,,
815,,2.0,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,2.0
816,,4.0,,,,,,,,4.0,,,,,,,2.0,,,2.0,,,,,,,4.0,,,,,,,2.0,,
818,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,4.0
821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,4.0,,,2.0,,,1.0,,
825,,4.0,,,,,,,,4.0,,,,,,,2.0,,,3.0,,,,3.0,,,,,,,,,,,,
827,,,,,,,,,2.0,,,2.0,,,0.0,,1.0,,,3.0,,,,,,3.0,,,3.0,,,2.0,,,,
830,,,,,,,,,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,,1.0,,,1.0,,,1.0,,,2.0,
832,,,1.0,4.0,,,,,2.0,,,,1.0,,,,,,,3.0,,,,,3.0,,,,,,3.0,,,,,2.0
834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,,,,,3.0,,,3.0,,,,2.0,,,,3.0,,,,2.0,,,,2.0,,3.0,,,2.0,
838,,,,,,,,,,2.0,3.0,,,3.0,,,,,,3.0,,,,,,2.0,,,2.0,,,3.0,,,2.0,
841,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,
842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0
843,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,
844,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
845,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,2.0,,,4.0,,,,4.0
846,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,1.0,,,,,,1.0,,
847,,,,,,,1.0,,,,,2.0,,,2.0,,,,,,,3.0,,,,,1.0,,,0.0,,,2.0,,,2.0
848,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
849,,,,,,,,,,1.0,,2.0,,,2.0,,,2.0,,,,3.0,,,,1.0,,,,1.0,,1.0,,,,
850,,,,,,,0.0,,,,,2.0,,,0.0,,,2.0,,,,2.0,,,,,0.0,,,,,,4.0,,,
851,,,,,,,,,,,,2.0,,,1.0,,,2.0,,,,3.0,,,1.0,,,1.0,,,0.0,,,2.0,,
852,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,,2.0,2.0,4.0,2.0,2.0,4.0,3.0,,,4.0,,,,4.0,,,,,,4.0,,,4.0,,,4.0
854,,,0.0,0.0,,,,,,0.0,,,1.0,,,,,1.0,,,,2.0,,,,,,2.0,,,0.0,,,1.0,,
856,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,3.0,,,,,,4.0,,,,,,4.0
858,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,,1.0,,,,1.0,,,,,,0.0,
861,,,,,,,,,,,,,0.0,,,1.0,,,,3.0,,,,,,,,,,0.0,,,,,,1.0
862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0
863,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,,
864,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,1.0
867,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,0.0,,,,
868,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,,,3.0,,,4.0,,,3.0,,,3.0,,,3.0,
869,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,1.0,,,,,0.0,,,,,,0.0,,,,
870,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,3.0,,,2.0,,,,,,1.0,,,,,,2.0,,,
871,,,,,,,,,,0.0,,2.0,0.0,2.0,0.0,2.0,1.0,,,1.0,,,,,,,2.0,,,,,,2.0,,,2.0
872,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,1.0,,,2.0,,,,,,0.0,,
873,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,1.0,
874,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,1.0
875,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,4.0,,,,,2.0,,,,3.0,,,4.0
876,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,
878,,,,,,,,1.0,,,1.0,,,1.0,,,,,,2.0,,,,2.0,,,2.0,,,2.0,,,2.0,,,
882,,,,,,,,,,,,0.0,,,1.0,,,2.0,,,2.0,,,1.0,,,,,,0.0,,,,,,0.0
883,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,,,4.0,,,3.0,,,,4.0,,4.0,,,,,,4.0,
884,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,
885,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,
887,,,,,,,,,,2.0,,,0.0,,,1.0,,,,,,,,2.0,,,,,0.0,,,,,,,
888,,,,,,,,,,,,,,,1.0,,,2.0,,,3.0,,,,,,2.0,,,,2.0,,,,,
889,1.0,,,,,,,2.0,,,1.0,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,3.0
890,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,
893,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,2.0,,
894,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.0,,,,,,1.0,,
895,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0
897,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,
898,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,,3.0,,,
899,,,1.0,0.0,,,,,,,1.0,,,,,,,,0.0,,,2.0,,,0.0,,,,,,0.0,,,,,
903,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,1.0,,
904,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,2.0,,,2.0,
907,,,,,,,,1.0,,,0.0,,,1.0,,,,1.0,,,,2.0,,,1.0,,,0.0,,,2.0,,,3.0,,2.0
908,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,0.0,,,1.0,,,2.0,,,2.0,,,0.0,
909,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,
910,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,4.0,,,
912,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,2.0,,,2.0,,,
913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,,3.0,,3.0,,3.0
914,0.0,0.0,1.0,1.0,,0.0,1.0,,,,,1.0,,,,2.0,,2.0,,,2.0,,,,1.0,,,,,,1.0,,,,,
915,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,
919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
922,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,
924,,,0.0,1.0,,,,,1.0,,,2.0,,,,,,,,,2.0,,,,,,1.0,,,,2.0,,,2.0,,
925,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,2.0
926,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0
927,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,2.0,,0.0,,,,1.0,,0.0,,,,,,1.0
928,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,0.0,
930,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,2.0
932,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
933,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,2.0,,,,,2.0,,,,,0.0,,0.0,,,
934,,,,,,,,,,,4.0,,,,,,4.0,,,4.0,,,,,,,,4.0,,,,,4.0,,,
938,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,0.0,,,,,,0.0,
940,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,4.0,,,,,4.0,,,
941,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,2.0,,,,
942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,
950,,3.0,,,,,,,,,,4.0,,,,,,4.0,,,4.0,,,,,,,,,,,,,4.0,,
952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
959,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,
960,1.0,1.0,0.0,,,,,3.0,,,,,2.0,,,,2.0,2.0,2.0,,,,,2.0,,,2.0,,,2.0,,,1.0,,,
962,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,0.0
963,,0.0,,,0.0,,,,,,1.0,,,,,,,2.0,,,3.0,,,2.0,,,,2.0,,2.0,,,2.0,,,2.0
965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
968,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
970,,,,,,,,,,,,,,,,,4.0,,,4.0,,,4.0,,,,,,4.0,,,,,,4.0,
971,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,4.0,,,,
972,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,2.0,,,2.0,,1.0
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,0.0,,,1.0,,,1.0
985,,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,,0.0,,1.0,,0.0,
987,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0
988,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,2.0
992,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,
998,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,
999,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,
1000,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,2.0,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0
