wb,ov_typ,distr_id,til_oko_fy,Shape_Length,length
158,LWTYPE9,DK1,Ukendt,685.628272277343,0.6856282722773429
159,LWTYPE15,DK1,Ringe økologisk tilstand,1408.26868868761,1.40826868868761
161,LWTYPE11,DK1,Dårlig økologisk tilstand,1434.4454632118989,1.4344454632118988
162,LWTYPE11,DK1,Dårlig økologisk tilstand,1440.4341298507504,1.4404341298507504
163,LWTYPE11,DK1,Dårlig økologisk tilstand,3251.664038228166,3.2516640382281663
166,LWTYPE11,DK1,Høj økologisk tilstand,1433.985078869102,1.433985078869102
167,LWTYPE9,DK1,Ringe økologisk tilstand,6325.88333534431,6.32588333534431
169,LWTYPE10,DK1,Moderat økologisk tilstand,905.3512935905449,0.9053512935905449
173,LWTYPE11,DK1,Høj økologisk tilstand,789.6021354058489,0.7896021354058489
174,LWTYPE11,DK1,Ukendt,991.5916678906847,0.9915916678906846
175,LWTYPE15,DK1,Moderat økologisk tilstand,632.6274827184723,0.6326274827184722
176,LWTYPE11,DK1,Moderat økologisk tilstand,1224.7864776224897,1.2247864776224897
179,LWTYPE10,DK1,God økologisk tilstand,2739.763169217021,2.7397631692170212
180,LWTYPE9,DK1,Ringe økologisk tilstand,1354.6889374070229,1.3546889374070228
181,LWTYPE11,DK1,Høj økologisk tilstand,3181.4644465789306,3.181464446578931
182,LWTYPE15,DK1,Høj økologisk tilstand,1284.236938500129,1.284236938500129
183,LWTYPE11,DK1,Ringe økologisk tilstand,6659.84427846029,6.65984427846029
184,LWTYPE13,DK1,Dårlig økologisk tilstand,4401.120489939387,4.4011204899393865
185,LWTYPE15,DK1,Dårlig økologisk tilstand,3025.4604154474932,3.025460415447493
187,LWTYPE9,DK1,Moderat økologisk tilstand,8952.0119918412,8.9520119918412
189,LWTYPE13,DK1,Dårlig økologisk tilstand,4832.006482841269,4.832006482841269
190,LWTYPE9,DK1,Høj økologisk tilstand,1641.314956804761,1.6413149568047611
191,LWTYPE9,DK1,Ringe økologisk tilstand,1278.3620679869089,1.2783620679869088
192,LWTYPE10,DK1,Høj økologisk tilstand,2501.4764998072346,2.5014764998072345
193,LWTYPE10,DK1,God økologisk tilstand,2468.3733216440028,2.4683733216440027
194,LWTYPE9,DK1,Moderat økologisk tilstand,1438.6823771723696,1.4386823771723696
195,LWTYPE10,DK1,Moderat økologisk tilstand,2842.922336491257,2.842922336491257
196,LWTYPE9,DK1,Dårlig økologisk tilstand,2034.0083499876816,2.0340083499876815
197,LWTYPE9,DK1,Moderat økologisk tilstand,6375.749439061632,6.375749439061632
198,LWTYPE13,DK1,Dårlig økologisk tilstand,2595.069028084856,2.5950690280848563
199,LWTYPE9,DK1,Høj økologisk tilstand,2157.126528210279,2.157126528210279
200,LWTYPE5,DK1,Ukendt,427.03280643994776,0.4270328064399478
201,LWTYPE13,DK1,Høj økologisk tilstand,1639.4445593831567,1.6394445593831568
202,LWTYPE10,DK1,Dårlig økologisk tilstand,2232.35122746633,2.2323512274663297
203,LWTYPE13,DK1,Dårlig økologisk tilstand,8792.17592596727,8.792175925967271
206,LWTYPE9,DK1,Moderat økologisk tilstand,2144.820455335479,2.144820455335479
207,LWTYPE10,DK1,Høj økologisk tilstand,1539.527982746087,1.539527982746087
208,LWTYPE10,DK1,Høj økologisk tilstand,1708.446502120495,1.708446502120495
210,LWTYPE9,DK1,Høj økologisk tilstand,1839.6243164235584,1.8396243164235584
213,LWTYPE9,DK1,Ringe økologisk tilstand,2552.3413456890908,2.552341345689091
214,LWTYPE11,DK1,Dårlig økologisk tilstand,5111.311518196025,5.1113115181960245
215,LWTYPE9,DK1,God økologisk tilstand,1757.5151698841926,1.7575151698841927
220,LWTYPE10,DK1,Ringe økologisk tilstand,2817.781940393227,2.8177819403932274
221,LWTYPE15,DK1,Dårlig økologisk tilstand,4328.913685049296,4.3289136850492955
222,LWTYPE9,DK1,Moderat økologisk tilstand,1269.1247639019978,1.2691247639019978
223,LWTYPE15,DK1,Ukendt,493.91551276737243,0.49391551276737244
225,LWTYPE11,DK1,God økologisk tilstand,2895.33381064335,2.8953338106433497
226,LWTYPE9,DK1,Ringe økologisk tilstand,5177.540500598666,5.177540500598666
227,LWTYPE15,DK1,Moderat økologisk tilstand,1589.1557079505467,1.5891557079505467
229,LWTYPE15,DK1,Moderat økologisk tilstand,5666.489152098897,5.6664891520988965
231,LWTYPE9,DK1,Dårlig økologisk tilstand,6906.942518947451,6.906942518947451
232,LWTYPE9,DK1,Ringe økologisk tilstand,3275.2900933505484,3.275290093350548
233,LWTYPE13,DK1,Ukendt,637.1137890995909,0.6371137890995909
236,LWTYPE11,DK1,Moderat økologisk tilstand,1057.621259707237,1.057621259707237
237,LWTYPE13,DK1,Dårlig økologisk tilstand,1208.6376961740373,1.2086376961740373
238,LWTYPE13,DK1,Dårlig økologisk tilstand,1695.3466864779953,1.6953466864779954
239,LWTYPE13,DK1,Dårlig økologisk tilstand,2904.862996837054,2.9048629968370543
242,LWTYPE9,DK1,Moderat økologisk tilstand,2318.557883140191,2.318557883140191
243,LWTYPE9,DK1,Moderat økologisk tilstand,2428.440042412302,2.428440042412302
245,LWTYPE15,DK1,Moderat økologisk tilstand,2008.681245762881,2.008681245762881
247,LWTYPE11,DK1,God økologisk tilstand,27366.922865934383,27.36692286593438
248,LWTYPE11,DK1,Ringe økologisk tilstand,26123.250732397064,26.123250732397064
249,LWTYPE11,DK1,God økologisk tilstand,1465.8676273187277,1.4658676273187277
251,LWTYPE1,DK1,Dårlig økologisk tilstand,655.9746627724287,0.6559746627724287
252,LWTYPE13,DK1,Moderat økologisk tilstand,1432.4554390289773,1.4324554390289772
255,LWTYPE9,DK1,Ringe økologisk tilstand,1444.0564212271265,1.4440564212271265
256,LWTYPE5,DK1,Ringe økologisk tilstand,1268.6582198286758,1.2686582198286758
258,LWTYPE13,DK1,Dårlig økologisk tilstand,5112.837509205413,5.112837509205413
259,LWTYPE15,DK1,Dårlig økologisk tilstand,2918.6020039686105,2.9186020039686102
260,LWTYPE13,DK1,Moderat økologisk tilstand,26967.160964684328,26.96716096468433
261,LWTYPE9,DK1,Høj økologisk tilstand,2121.349454689641,2.121349454689641
262,LWTYPE5,DK1,Moderat økologisk tilstand,466.93661703162013,0.46693661703162015
263,LWTYPE5,DK1,Moderat økologisk tilstand,1156.8882249200162,1.1568882249200163
265,LWTYPE11,DK1,Dårlig økologisk tilstand,8860.11763481614,8.86011763481614
266,LWTYPE13,DK1,Ringe økologisk tilstand,2075.7556665926822,2.0757556665926824
268,LWTYPE11,DK1,Dårlig økologisk tilstand,10102.705957773527,10.102705957773527
269,LWTYPE10,DK1,Ringe økologisk tilstand,13065.344832649094,13.065344832649094
270,LWTYPE10,DK1,Ringe økologisk tilstand,9184.635792457037,9.184635792457037
271,LWTYPE10,DK1,God økologisk tilstand,8960.77807300176,8.96077807300176
272,LWTYPE13,DK1,Moderat økologisk tilstand,3398.6632023215006,3.3986632023215004
273,LWTYPE11,DK1,Ringe økologisk tilstand,3479.55718703898,3.47955718703898
274,LWTYPE10,DK1,Moderat økologisk tilstand,11994.096645015064,11.994096645015064
275,LWTYPE11,DK1,Dårlig økologisk tilstand,14161.792573803941,14.161792573803941
276,LWTYPE13,DK1,Dårlig økologisk tilstand,5093.712414792589,5.093712414792589
277,LWTYPE9,DK1,Dårlig økologisk tilstand,3912.0541913756006,3.9120541913756006
278,LWTYPE13,DK1,Ringe økologisk tilstand,1406.7952691659955,1.4067952691659955
279,LWTYPE9,DK1,God økologisk tilstand,2003.5253712956571,2.003525371295657
281,LWTYPE13,DK1,Ringe økologisk tilstand,1629.6871609504553,1.6296871609504553
282,LWTYPE10,DK1,Høj økologisk tilstand,1954.0092236264397,1.9540092236264397
283,LWTYPE9,DK1,Høj økologisk tilstand,1304.1521943947564,1.3041521943947565
284,LWTYPE9,DK1,Dårlig økologisk tilstand,1649.7087316433456,1.6497087316433456
285,LWTYPE9,DK1,God økologisk tilstand,2281.416285446918,2.281416285446918
286,LWTYPE13,DK1,God økologisk tilstand,13217.525948777153,13.217525948777153
288,LWTYPE10,DK1,Moderat økologisk tilstand,1225.6825242803336,1.2256825242803335
289,LWTYPE9,DK1,Moderat økologisk tilstand,1656.996932741616,1.656996932741616
290,LWTYPE13,DK1,God økologisk tilstand,6804.752345804513,6.804752345804514
