wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
34,0.591457608753889,0.5860892497087142,1.6603766232998003,1.9641492152987226,1.110075922530412,1.2651801040543145,1.644361614907349,1.810122698997413,1.6628576028613808,1.556305424105396,1.1605291972650313,1.8950312563727412,2.040112746511722,1.632358873881216,1.7138963642031342,2.6903759134506293,1.4534158786166085,1.950358958228828,1.56769541057027,1.4927105815833857,1.6689480386818931,2.088806875354266,2.2856932730383677,2.031987586752856,1.0,2.0,2.0,4.0,4.0,2.0,3.1029523451118854,1.0,4.0,4.0,2.7839282265279977,3.1225746806932895,2.0
35,0.15792110949333243,0.1487175258873561,1.0,1.0,0.86525180386982,1.4181667060240408,1.4281206681988277,0.605478266696475,1.7144289175211906,1.9788797562908502,1.3735245752053409,1.6365646151758029,1.9091302807164028,1.6205115266246792,0.8045360290058798,1.7527177084076857,1.589944736401196,2.0410982759172107,1.6491330039382668,1.2800487556175968,0.0,1.8332732345366227,2.1094742700499216,2.0548977556709076,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.6638022871519482,4.0,3.510378019859141,2.0,2.792184662022545,2.0
36,0.7803043325326133,1.1860669786980784,1.2798902755865333,2.106292941442791,2.7506248666278728,2.2164102853150394,2.627440212263243,2.443261073572589,1.5871078124760543,2.2989994136054666,1.6409961766777945,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.674998886492363,3.0,3.540283125494533,4.0,2.66475198193572,3.868909056113428,3.322276597363723,2.0,3.0,2.0,1.9575675933168235,4.0,3.0,2.0,2.8693189516343605
37,0.376132374476645,1.154293468342614,1.900842277624675,2.0726751094555214,1.387724499193961,1.8194737129008547,1.6762932405664581,1.6939333677293695,2.3606800652889017,1.7048505039236672,2.610346899886305,2.3170362319890225,2.0906970245513876,1.5356075966011078,2.1974392629659554,2.398912226960367,2.248368470195792,1.5365771628789824,1.9219229998113503,2.511756497637002,1.5725782711378824,2.481970388827153,2.2503031018542536,2.3341761157062733,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.2130095786904485,3.0,2.3002388159765994,3.0,2.6176218882175677,3.0
38,0.6317374836917977,0.940772255908532,1.7784438955917297,1.6902616232007766,1.4103707606656373,1.421557072165736,1.6262269729298557,1.1917277168874558,2.1616677421967028,1.7198063473777456,1.8484210329992203,1.728815787763109,1.4026639834438437,1.7099526928825486,1.5284637775065955,1.8139058528921732,1.9895168465077695,1.4070902129994114,1.8130223721887526,2.0370129774890735,1.2437110479278064,1.8542321560544008,1.8312330080165897,1.9724775139126687,1.4408448218073713,2.9052482962160777,2.4181987736827493,2.212974801710539,2.5054258748584846,2.045117521735793,2.1682337734803308,1.6971850851638701,2.396399649627715,2.1290913768847943,1.860489702189142,1.7521546681946962,1.897437023383761
44,0.5739643859296324,0.3854112481075926,1.0489395063462708,0.5896111289476673,0.6508024781431874,0.704257878835905,1.0486436595822832,1.0508591978401967,0.5810911242960528,0.8480367646301045,1.0891571213206552,1.0391054827929966,0.8864295887835767,0.9855220244664442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.270470576755894,0.7950795788114426,2.0830589824494865,1.2989806488042817,1.1401758851507549,1.5951660009552637,0.9988488418830976,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,0.5252801495487494,0.6300264688236599,1.1456989232175807,1.1771705111523394,1.120697699325223,0.599298614965411,1.060476404426542,0.9458334035226516,1.1342814305266422,1.3577270959070544,1.2326141146829377,1.2092945387186875,0.9249141578528557,1.354480189899986,1.0714693308376746,1.1817409503756326,1.4721756005973428,1.0310734518887388,1.4176687682209976,1.2544838510310996,1.426939675369262,1.223083566883218,1.634232653518592,1.4622895348729876,1.307636711788796,2.501135469327133,1.6767598162567223,1.5253650551998352,1.8290800963474485,0.88787584739939,1.5343113798076646,1.6730510334522821,1.8171896605127948,1.3328280232937464,1.3958560348631461,1.04908870072349,1.5267953019333853
46,1.844498683853175,0.5353018034609356,1.62985748171593,1.095467964070274,1.4308597417793132,0.14836046914478984,1.5890351475202635,0.9692504898413109,0.9464767500999562,1.5879728110649627,1.6544824572449683,1.3904537223330944,1.6047364796469537,2.229779355957186,1.3906716455513566,1.5971067333006663,1.500016153585656,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.3318518104957653,2.0,1.0,1.4044355741366916,2.0,1.611783586379659
47,1.9237296388871326,0.7281266645171056,2.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
48,0.7657946625729464,1.6753000400327438,3.0,3.0,2.5282052937539943,3.0,3.0,3.0,3.0,3.0,3.0,2.4328059346285715,2.32664668938155,2.754090382372673,2.3327420710602804,3.032374091701918,3.044796590289933,1.8659890324779351,2.2997704676856987,2.158618962604562,1.5687521063996273,2.684121111913663,3.0,2.3064594502161837,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.629996522904733,3.0,3.0,2.5095538270727458,2.0,2.741273114598573
