g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
o8248,3.1676278684114,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,3.0
o4721,2.2499647711854,,,,,,,,,,,4.0,,4.0,,,,,,4.0,,,,,,4.0,,,
t20_x,0.50256241307292,,,,,,,,,,4.0,,,4.0,,,,,,,,,,4.0,,,,,
o8842_a,6.8995602906071,,,,,,,,4.0,4.0,4.0,4.0,3.0,,,,,4.0,,,,4.0,,,4.0,,,,
nyk_2.5_2055,0.19467651965609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_620,1.9230022742877,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o3679_b,1.6389097510923,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
o5683,1.401272735925,,,,,3.0,,,2.0,,,,3.0,,,3.0,,,3.0,,3.0,4.0,,,,3.0,,,3.0
o3729,1.4594502209193,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
o3111,1.4560681783299,,,,,,3.0,,,,,,,,,,,,,,,,,,,,5.0,,
o9277,0.8212973397957,,,,,,,3.0,,4.0,,3.0,,3.0,,3.0,,,,,,,,,,,3.0,,
o6585,1.6199404349074,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,,4.0,
o7388,4.7107084430163,,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,4.0,,,,,,,,,4.0,
o4352,1.0896300667537,,4.0,,,,,,2.0,,3.0,,4.0,,4.0,,,,,,,,,,,4.0,,,
o3408,3.5917482436653,,2.0,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,,,,,,3.0,,,,,3.0,
o6932,1.3546802125382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5416,1.1777167099998,4.0,,,,,,,4.0,,3.0,,4.0,,4.0,,,,,,,,,,,,,,
rib_1.10.00620,1.4949964672946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.c-0195-010,1.1504724516574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10463,1.8388114879597,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,
nyk_2.5_117,1.4259666667637,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,,4.0,4.0
o8003_c,3.9467541732256,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0
o3392,1.257999236196,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,
o6514,1.5075778560053,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,
o4246_x,2.6215402914342,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,
o8498_e,2.455979145038,,,,3.0,,,,3.0,,2.0,,3.0,,3.0,3.0,,,,,,3.0,,,,,,3.0,
o8895_d,2.5367283519787,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,
o8308_f,3.5606017030961,,,,,2.0,,,,3.0,,2.0,,3.0,,3.0,,,,,,,,,3.0,,,,
1.7.a-0280-010,0.94711675655517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3931_a,1.3550878045276,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,
o10560_x,6.610693860738,,,,,,,,,,,,,,,5.0,,,,,,,,,,,3.0,,
o8799,3.1728736798571,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
o8133_k,5.3945400954226,,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,,,5.0
o9870,1.755340396724,,,3.0,,,,,,3.0,3.0,,4.0,,3.0,,,,,,,,,,3.0,,,,
o8895_e,3.2740104173137,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o8342_f,5.5151016423877,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0
o3470_y,2.9814248876229,,,,,,,,3.0,4.0,3.0,4.0,3.0,,,,,4.0,,,,,4.0,,,,,3.0,
o4320,1.3826440309546,,,,,,,,,,3.0,,3.0,,4.0,,,,,,,,,,,,3.0,,
o6445,0.65926851260642,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
o8182,2.9248230671634,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,
nyk_2.5_2535,1.9652404329036,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
o4552_x,3.6844293652367,,,,,,,,,3.0,4.0,3.0,3.0,,2.0,2.0,,,,,2.0,,,,,,,,
o3424,2.2053259940101,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,3.0,,,,,,3.0
o10203_x,4.9730223448952,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
o3949,1.5356083974326,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,4.0,,,
o7446,3.6606844291731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5391_a,1.3067336005625,,,,,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,,,,4.0,4.0,,,,,,4.0
rin_1.4_00049,1.1622232858735,,,,,,,,3.0,3.0,3.0,3.0,3.0,,3.0,,,,,,3.0,,,,,,3.0,,
o784,1.7097803290132,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0
o6536,0.50775564360401,,,,,,,3.0,,,,2.0,,,,3.0,,,,,,4.0,,,,,,4.0,
ode_1.15_52,0.87437594968293,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
o6761_x,3.0885681701163,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,4.0
o10519,2.0476470388373,,,,,,,,,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,
o4169,1.7914471208556,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,
o8912,4.6780004263717,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,4.0,,,,,,,,,,4.0,,
o3567,0.54992783095813,,,,3.0,,,,1.0,,,,,,2.0,,,,,,,,,3.0,,,,,
o8824,1.3943823337491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7077,1.415683862006,,1.0,,,,,,,3.0,,,,2.0,,,1.0,,,,,3.0,,,,,,3.0,
o6235,5.6367144867029,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0
o10037,0.95754791501826,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
1.5.f-0800-010,0.74698613205956,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o5603,1.6101240194777,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
o4166_y,3.1740328136901,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o7636,2.0511494604159,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,
o2047,0.84363343002243,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o9597,2.2343118662415,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o3415,2.18757502728,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,
o7993,3.0288246386668,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0
o8911_c,2.2544412136309,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
o8141_x,1.8016554952739,,,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,4.0,,,,,,,5.0,,
o5671,2.2439253404033,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
1.5.e-1050-010,0.49158008942376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4127,1.3154532566583,,,,,,,,,2.0,,,3.0,,3.0,,,,,,,,,,,,4.0,,
o5041,0.62953271329098,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,
o7207,2.2180879090642,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,
o9998,2.1320914951275,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,
o3244,2.8203003367332,,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,2.0,,,,,,3.0
o6405,1.1685448904119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7143_b,2.3988594925728,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,4.0,,,
o5112_a,1.2411240325215,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,5.0,
o4612_a,1.6453766030485,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
o7917_a,3.3567130184893,,,,,,,,,3.0,3.0,3.0,3.0,4.0,,4.0,3.0,,,,,,,,4.0,,,4.0,
t71,0.25617043292811,2.0,,,,,,,,,3.0,,3.0,,3.0,,,,,,,,,,,,,,
rin_1.4_00309,1.5409338353607,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,
o3802,0.54224249790843,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o8137_c,9.1204867230475,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,4.0,4.0,,,,,,4.0
nyk_2.5_80a,0.93252725759524,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,
o7533,0.72622739365121,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,
o7158_y,1.4547107194245,3.0,,,,,,,,3.0,,,,3.0,,,,,,,4.0,,,,,,,4.0,
o10274,1.895944915545,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o3851_y,2.6032241742707,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,,
o6677,0.9391956506972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10385_f,6.0479576794885,,,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,
o3281_x,2.1188958582953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.01187,0.72313086786869,,,,,,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,
o6373,2.8452501649014,,,,,,,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,,3.0,
o9840,2.7664353000175,,,,,,,,3.0,,3.0,,3.0,,3.0,,,,,,,,,,3.0,,,,2.0
o4554,2.0207715975067,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o8379_n,5.0151164947898,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,
o7143,3.1034887976375,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o10419,1.1878760518203,,,,,,,,4.0,4.0,4.0,3.0,4.0,5.0,,,,,,,,,,,,,,5.0,
rib_1.10.02380,2.4888206379518,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,5.0
o8341_c,3.8341786315642,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o3490,1.036569700187,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o3822,3.2839172285434,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,4.0
o8330_b,2.4738537546533,,,,,,,,,,,,,,,,,4.0,,3.0,,,,4.0,,,3.0,,
o9913_y,2.5569596751925,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o3452,1.224905605186,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,
o3980,1.3681144454352,,,,,,,,,,,3.0,,,,,3.0,,,,4.0,,4.0,,,5.0,,,
o4009_x,3.3228538143042,,,,,,,,,,,4.0,,,,,4.0,,,,4.0,,3.0,,,5.0,,,
1.5.b-0325-050,0.948498792103,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
rib_1.10.00022,0.83180746142446,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
o1508,1.9568850214882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.02571,2.5173771300296,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0
o3399,3.2611732252172,,,,3.0,3.0,2.0,3.0,,4.0,4.0,3.0,3.0,3.0,,,,,,,,,,4.0,,,,,
o10224,1.7179168029628,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
o9937,1.4831454805537,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
o3462,2.0088236372732,,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,,3.0,,,,,,4.0,,,,,,,4.0,
o9237,1.713070068511,,,,,,,,,3.0,,3.0,,3.0,,3.0,,4.0,,,,,,,,3.0,,,
o10423,1.5931320222346,,,,,,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,
ros_2.2_01160,1.2931378877938,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
o8171_b,3.7781510795579,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
t239,0.11990892894913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6492,1.5122058026898,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,
o3327,1.063080614461,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,3.0,
o7958,3.6367256371282,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o8826_x,4.4333397028205,,,,,,,,,3.0,,,,3.0,,,3.0,,,,3.0,,,,,,,4.0,
o7780,2.6549698638559,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
o7789_x,4.2814935128203,,,,,,,,3.0,4.0,4.0,4.0,4.0,3.0,,4.0,,4.0,,,,,,4.0,,,,,
o10011_y,3.2394289289356,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o3937_x,2.1852051303069,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o6316,1.415060263571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4280_c,1.29604585485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.3_02320,0.85500958043405,,,,,3.0,,,,4.0,,3.0,,,3.0,,,,,,,,,,,,,,
o5258,1.1692079348175,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
o6867,2.2479932851503,,,,,,,2.0,,,,3.0,,,,3.0,,,,,,,,,,,3.0,,
o6398,1.1467731685926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9957,4.8141720933683,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,
rib_1.11.01730,2.2249267652755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8236_m,6.0102073814341,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,4.0
o3441,0.86162348634995,,,,,2.0,,,,,,,,2.0,,,,,,,,,3.0,,,,,,4.0
o4803_x,2.9320067347954,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o8791,1.4874605833993,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,
o4020,3.121823620233,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o3673,1.3065284368296,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
o8086,2.5171540420397,,,2.0,2.0,3.0,,,3.0,2.0,2.0,2.0,3.0,,3.0,,,,,,,,,,3.0,,,,
o8907,6.8960978126251,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,,,
o5256_y,5.640429650704,,,,,1.0,,2.0,3.0,,,3.0,,,,,,,3.0,,3.0,,,,,,,3.0,
o5886,1.7669787170626,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
o7237_x,2.7107306661314,,,3.0,,,,,,2.0,,,,3.0,,,,,,,4.0,,,,,,,3.0,
o8638_a,8.3391996456854,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,
o5138,3.8215842232279,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,4.0,
o7600,2.1648266332649,,,,,,,,,3.0,4.0,4.0,4.0,,4.0,,,,,3.0,,,4.0,,,4.0,,,
o10136,1.3201127608084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4994,5.3137836719794,,,,,,,,2.0,2.0,,,,,,,,,3.0,,,,,,,,,,
o6050,1.0230231204466,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
t248,0.13127394625979,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
o5311_x,2.2177594989021,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,
o9901_x,5.808213215889,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
o5298,1.3366798499384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8061,3.1342380197203,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,
o7242,1.0221050504114,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,3.0,,
o8233,6.4504377833091,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,4.0,
o4866_x,3.9952046883386,3.0,,,,,,,,4.0,,3.0,,3.0,,,,4.0,,,,,3.0,,,,,,
o7998,3.4557867761108,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,
t377,0.23018056177448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8300_i,5.6557411497793,,,,,,,,,,,3.0,,,,,,,,,4.0,,5.0,,,,,,4.0
ros_3.1_04260,0.23527732398796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.15_326,0.57900166138782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.15_279,0.17540979411978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10408_y,3.9462500855972,,,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,5.0,,
o4506,1.0077052691987,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
o8779_b,5.463184829169,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,
o3667_a_y,3.0131217183117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6215,0.99702086883923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6747,0.60064049970619,,,,,,,4.0,,,,4.0,,5.0,,4.0,,4.0,,5.0,,,,,,4.0,,,
o4740_y,1.30107307804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3373_x,1.6916065747551,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,
o6425,6.1244352857172,,,,4.0,4.0,,,,,,,,4.0,,,,,,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
o8529_c,2.9529008432902,,,,,2.0,,,,3.0,,3.0,,,3.0,,,,,2.0,,,3.0,,,3.0,,,3.0
t12_x,0.46214095066229,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,
o10275,1.8000229378097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.e-0805-010,1.0288179244126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8905_j,3.5996286245243,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,4.0,,
1.7.c-0090-010,0.82761547652683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3296,2.160442876139,,,,,,,,,,3.0,,,4.0,,,,,,,,3.0,,,,,,4.0,
o5027_a,1.5112070898963,,,,3.0,2.0,3.0,,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,,,,,4.0,,,,,,,4.0,
ode_1.12_658,2.1225683428262,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
rib_1.10.02201,1.637633107266,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,
aal1.1.0644,2.4130368972739,,,,,,,,3.0,3.0,3.0,3.0,4.0,,,,4.0,,,,,,,4.0,,,,,
o7967,2.7366744944886,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,5.0,
o7611,2.0754444222025,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
nyk_2.5_752,1.6712132219117,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,
o10342,1.0549464144318,,,,,,,,,,,,,4.0,5.0,,,,,,5.0,,,,,,4.0,,
o5000,7.380909679919,,,,,,,,,3.0,2.0,2.0,3.0,,2.0,,,,,,3.0,,4.0,,,,4.0,,
o3751,2.0670567969919,,4.0,4.0,,4.0,,4.0,,4.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,4.0,,,
o6853,1.3622089782111,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
o8877_i,0.94149120620921,,,,,,,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,3.0
o7814,2.5497124217322,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o8926,4.1485960602463,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o8293_g,2.8740322351549,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,
o4069,5.3667783565417,,,,,,,,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,,4.0,
o8627,4.7885077964319,3.0,,,,3.0,,,,,,,,3.0,,,,,,,3.0,,,,,,,,
o7956,5.5823151885883,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,
nyk_2.5_417,1.667457559739,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o8794_c,6.6763179017065,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,5.0
o3210,1.858002364408,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
o8957_i,7.8276196420691,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
o6900,0.58186665002552,,,,,,,4.0,,,,4.0,,,,4.0,,,,,,,,,,4.0,,,
ros_2.1_05360,2.0789652736684,,,,,,,,,3.0,,3.0,,3.0,,3.0,,,,,,,,,,,,,
ode_1.12_556,0.43470183563755,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o3804,5.1496529665137,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
o808,3.149509647642,,,3.0,,3.0,,,,,,4.0,,,,,,,,4.0,4.0,,,,,,,,4.0
o8962,7.8854517049837,,,,,,,,4.0,5.0,4.0,4.0,5.0,,5.0,,,,,,,,,,,,,,5.0
ode_1.15_174,1.0483919637034,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o1546,5.6598112138527,,,,,,,,,3.0,,,,3.0,,,,,,,3.0,,,,,,,3.0,
o8052,1.2178349246811,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
t318,0.12710472200251,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
ode_1.13_314,0.73660194564955,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o7350,2.1131037990325,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0
o5063,1.2377175460437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10056,0.74397908047178,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
o3271,1.9634415149779,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o8622a,8.5226254131096,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,,,4.0,3.0,,,,,,,4.0
o10537_b_b,0.48848822055701,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
o3384,0.63577952503457,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,
o4816,2.4148626536083,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,4.0,
o9012,3.9442647100304,,,,,,,,3.0,,,3.0,,3.0,,3.0,,,,,,3.0,3.0,,,,,,3.0
o8450_b,3.4433830520105,,,,2.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,4.0,,,3.0,,,3.0,,
o9753,3.4979701077575,,2.0,,,,2.0,,,3.0,2.0,,,,3.0,,3.0,,,,,,,,,,3.0,,
1.6.d-0365-010,0.90520476632935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7955_g,3.998831037284,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,
o352,2.2958907158457,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
o8752,0.79432954408103,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
o7150,3.2454145789791,,,,,,,3.0,,,,4.0,,,,4.0,4.0,,,,,,,,,4.0,,,
o7100,1.9619472138565,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
ode_1.15_547,0.99163510100986,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o4390,1.1595992556664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8196_b,3.972991250011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8441,5.2946567946455,,,,,,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,,2.0,,,,,,,,,3.0,
o7393,3.5602482228112,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,
o10072,1.4234881575201,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,
rin_1.2_00474,0.65363594102589,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
o7807,2.4998337739133,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,4.0,,
o4249,2.0147686473595,,,,2.0,,,,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,
o7448,3.5203526712335,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
o7934_c,4.4468913254465,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
1.5.b-0570-010,0.51598981047634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1952_x,2.7471175588872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6209,1.8164602766575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4600,1.5334164544456,,,,,,,4.0,,,4.0,,4.0,,,,,,,,,,3.0,,,,,,4.0
nyk_2.5_631,2.0353598588851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3619,3.3971385099159,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o8479,1.4749376210391,,,,,,,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,
o5130_a,1.1860120495125,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o3359,0.74958853681112,,,,,,,,,,3.0,,,3.0,,,,,,,,,3.0,,,,,,4.0
o6475,1.7093299802748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5279,2.3860507824542,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,
o7185_c,4.9394489439077,,2.0,,,,,,,2.0,,,,3.0,,,,,,,4.0,,,,,,,4.0,
o10225,1.1534532251744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1497_x,6.1665260303158,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,4.0,
o8524_b,0.19374388958187,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
