g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
o8730_x,7.8250356564771,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,5.0,,,,,,5.0,,5.0
o8970_a,9.1211689486836,,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,
o8470_x,8.9771210648206,5.0,,5.0,5.0,,5.0,,,4.0,5.0,5.0,5.0,4.0,4.0,,4.0,,,4.0,,,,,,5.0,,5.0,4.0
rib_1.10.00457,0.16189293266296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8931_a,7.9591730807476,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,
o8775_c,9.8445924640782,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,4.0,,,,,,4.0
o8754,3.3265828854248,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,,,,,4.0,,,,
o9013_a,12.296751272255,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,5.0,,,,,,5.0
o8607,15.518368297302,,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,3.0,4.0,,,4.0,,,4.0,,,4.0,,3.0
ode_1.12_70,0.26316382217607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aal1.2.0288,0.019919206547727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t277,0.2766915910185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t258,0.1206305159633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.8.01101n,0.11994404783102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t332,0.21300300544486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8886_a,6.6274667314969,,,,,,,,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,,4.0,,,,,,4.0,,,4.0,,4.0
o8547,6.299025176289,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,,5.0,
o7934_a,12.78011559747,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,4.0,
o10259,6.4411633228374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t135,0.022096877494736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7108_b,0.16248846431211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.4_03400,0.37108641115819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_557,0.17571320317974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8698,10.136209250787,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,,3.0,
ode_1.12_343,0.072942515153621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t45,0.24526193051974,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
o8787b,10.533917178274,3.0,3.0,3.0,3.0,,,4.0,,,,3.0,,,,3.0,3.0,3.0,,3.0,,3.0,,3.0,,,3.0,,4.0
o10457,9.1391875046753,,4.0,,,,4.0,,,,,,,5.0,5.0,5.0,5.0,5.0,4.0,,,,,,,5.0,,,
o8968_e,6.5105942773226,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,
