wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
179,,,,,,5.0,,6.0,,,,,4.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,7.0,,,7.0,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,5.0,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,4.0,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
188,,,,,,,,,,,,,4.0,5.0,5.0,5.0,4.0,,,5.0,,,,5.0,,5.0,5.0,,,,,,,,,6.0,
192,,,,,,,,,,,,,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,5.0,5.0,,5.0,,,,
195,,,,,,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,,,,,,,,,5.0,,,,,4.0,,,,4.0,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,,,,,,,4.0,,,,4.0,,,,
200,,,,,,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,,,,,,4.0,,,,,,,6.0,,,6.0,,,,
201,,,,,,,,,,,,,6.0,7.0,6.0,5.0,6.0,7.0,,6.0,,,,,6.0,,,,,,7.0,,,,,,7.0
202,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
207,,,,,,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,7.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,,6.0,,7.0,,7.0,
208,,,,,,,,,,,,,4.0,4.0,4.0,5.0,4.0,4.0,,,,5.0,,4.0,,,,6.0,,5.0,,,,6.0,,6.0,
210,,,,,,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,,7.0,,5.0,,7.0,
213,,,,,,,5.0,,,,,4.0,,,,5.0,4.0,4.0,,,,,2.0,,,5.0,6.0,,,,,,5.0,,,,
216,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
219,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
220,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,,,7.0,,,7.0,,,7.0,,,6.0,7.0,,,,
223,,,,,,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,,5.0,
224,,,,,,,,,4.0,,,,,4.0,,4.0,,4.0,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,4.0
228,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,4.0,,,,,,5.0,,,,
232,,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,,5.0,6.0,6.0,6.0,,,
233,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,1.0,,
235,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,4.0,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,5.0,5.0,5.0,5.0,6.0,,,,,,,,,7.0,,,7.0,,,7.0,,,7.0,,,,,,7.0,,
242,,,,,,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,,6.0,,,,5.0,,7.0,,,,6.0,,7.0,,,,7.0,
243,,,,,,6.0,3.0,6.0,5.0,,6.0,,6.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,,,
245,,,,,,,4.0,5.0,4.0,,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,,,,,,4.0,,,7.0,,,,,7.0,,,,,
246,,,,,,5.0,,,,,5.0,,,,,,5.0,,,,,,,,,,4.0,,,,,6.0,,,,,
249,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,,5.0,,5.0,,,,5.0,,6.0,5.0,,,5.0,,,6.0,,,
250,,,,,,,,,,7.0,,,,,,7.0,,,,,,,,,6.0,,,6.0,,,6.0,,,,,,6.0
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,4.0,,,4.0,5.0,,5.0,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
274,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,4.0,
275,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
276,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0,6.0,5.0,7.0,,,,,,7.0,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
