,n,Obs,No dummies,Vu,"Vu, B","Vu, B, K","Vu, B, K, No","Vu, B, K, No, Se","Vu, B, K, No, Se, Vf","Vu, B, K, No, Se, Vf, Ø","Vu, B, K, No, Se, Vf, Ø, Fj"
2001,55.0,0.8363636363636363,0.8888888888888888,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481
2002,58.0,0.8793103448275862,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8796296296296297,0.8796296296296297,0.8888888888888888
2003,57.0,0.8947368421052632,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
2004,53.0,0.8490566037735849,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481
2005,56.0,0.8214285714285714,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8796296296296297,0.8796296296296297,0.8888888888888888
2006,57.0,0.9122807017543859,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666
2007,52.0,0.8846153846153846,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259
2008,36.0,0.8333333333333334,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8981481481481481,0.8981481481481481
2009,40.0,0.725,0.8240740740740741,0.8333333333333334,0.8240740740740741,0.8148148148148148,0.8333333333333334,0.8240740740740741,0.8240740740740741,0.8425925925925926,0.8333333333333334
2010,35.0,0.8,0.8611111111111112,0.8611111111111112,0.8703703703703703,0.8611111111111112,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8703703703703703
2011,55.0,0.8727272727272727,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8888888888888888,0.8888888888888888,0.8888888888888888
2012,62.0,0.6129032258064516,0.6759259259259259,0.6759259259259259,0.6759259259259259,0.6759259259259259,0.6759259259259259,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6759259259259259
2013,55.0,0.7636363636363637,0.8240740740740741,0.8055555555555556,0.8148148148148148,0.8148148148148148,0.8055555555555556,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7962962962962963
2014,57.0,0.7192982456140351,0.7685185185185185,0.7685185185185185,0.7777777777777778,0.7685185185185185,0.7685185185185185,0.7685185185185185,0.7685185185185185,0.7685185185185185,0.7777777777777778
2015,55.0,0.6727272727272727,0.75,0.75,0.75,0.75,0.75,0.7407407407407407,0.7685185185185185,0.75,0.7407407407407407
2016,73.0,0.863013698630137,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074
2017,67.0,0.7313432835820896,0.7870370370370371,0.7870370370370371,0.7870370370370371,0.7870370370370371,0.7870370370370371,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7962962962962963
2018,65.0,0.8461538461538461,0.8518518518518519,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519
2019,69.0,0.7971014492753623,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7870370370370371,0.7870370370370371,0.7962962962962963
2020,67.0,0.8208955223880597,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.8425925925925926
Total,1834.0,0.8418756815703381,0.8779938608182882,0.8776000646229655,0.8789177672765459,0.8782563916151702,0.8762874106385558,0.8754190395411771,0.8756108889696677,0.8755957429621551,0.8760097338341613
