wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
213,,,,,,,3.0,,,,,2.0,,,,3.0,2.0,2.0,,,,,1.0,,,3.0,3.0,,,,,,3.0,,,,
216,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
219,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
220,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,4.0,,,4.0,,,4.0,,,3.0,4.0,,,,
223,,,,,,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,,3.0,
224,,,,,,,,,2.0,,,,,2.0,,2.0,,2.0,,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,,2.0
228,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,2.0,,,,,,3.0,,,,
232,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,,3.0,3.0,3.0,3.0,,,
233,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,0.0,,
235,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,2.0,,,,,,,,2.0,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,4.0,,,4.0,,,4.0,,,4.0,,,,,,4.0,,
242,,,,,,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,3.0,,,,3.0,,4.0,,,,3.0,,4.0,,,,4.0,
243,,,,,,3.0,1.0,3.0,3.0,,3.0,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,,,
245,,,,,,,2.0,3.0,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,2.0,,,4.0,,,,,4.0,,,,,
246,,,,,,3.0,,,,,3.0,,,,,,3.0,,,,,,,,,,2.0,,,,,3.0,,,,,
249,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,,,,3.0,,3.0,3.0,,,3.0,,,3.0,,,
250,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,3.0,,,3.0,,,3.0,,,,,,3.0
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,2.0,,,2.0,3.0,,3.0,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
274,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,
275,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
276,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,,,,,,4.0,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,,,,3.0,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,
292,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,,,2.0,
294,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,,,,,,4.0,,,,,,4.0
298,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,,2.0,
299,,,,,,,,,,,,,,,0.0,0.0,,,1.0,,,1.0,,,,1.0,,,2.0,,,,,,2.0,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,
310,,,,,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,,,,,,,,3.0,,,,,,3.0,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,,
316,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,2.0,
317,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,3.0,,3.0,,,,2.0,,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,4.0,,,3.0,,,,
326,,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,2.0,,,,,,3.0,,,3.0,3.0,,3.0,,,,4.0,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,2.0,
328,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,,,,,2.0,,,,2.0,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,2.0,1.0,2.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,,4.0,,,,,,4.0,,3.0,,,,4.0,,,,,,4.0
336,,1.0,2.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,0.0,,,,2.0,,2.0,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,,,,
355,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,2.0,,2.0,,,,,,1.0,,,,
356,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,
358,,3.0,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
