j,t,v,Q,ln y,D age,ln PSL,ln PAL,SL,D lakes,N
streams,2005,145,2.36068474,1.743347717,0,-0.224295604,-0.545850906,0.249617064,0,30264
streams,2005,146,2.457390421,1.702683345,0,-0.149024889,-0.337527183,0.172999883,0,6768
streams,2005,147,2.46164965,1.619103153,0,-0.2630481,-0.610826901,0.527874645,0,118115
streams,2005,154,2.020409245,1.438117552,1,-1.76681713,-1.557390129,0.027694527,0,1064
streams,2005,157,2.469883016,1.618100319,0,-0.44410971,-0.488169778,0.936446946,0,30215
streams,2005,158,2.521342147,1.642320225,0,-0.193729248,-0.394428795,0.859954002,0,20955
streams,2005,159,2.636338416,1.615319802,0,-0.546727302,-0.487799105,0.170335506,0,9796
streams,2005,160,2.58655644,1.598572295,0,-0.411225378,-0.520474286,0.179345138,0,6560
streams,2005,165,1.969264019,1.707404571,0,-0.293852681,-0.326416333,0.352404187,0,35322
streams,2005,200,1.996110991,1.811521153,0,-0.591232742,-0.981305192,0.215684221,0,29422
streams,2005,201,1.91076913,1.765865195,0,-0.282978808,-0.553261282,0.544707199,0,128517
streams,2005,204,2.092416397,1.63598405,0,-0.180429352,-0.38925113,0.778077895,0,41451
streams,2005,206,1.414856295,1.52993539,0,-2.079238771,-0.418478282,0.024106918,0,7971
streams,2005,207,1.535016255,1.437151632,0,-0.537390632,-0.209880256,0.1078224,0,10643
streams,2005,208,0.98889325,1.482642583,0,-0.358297507,-0.137941355,0.142037225,0,5730
streams,2005,209,1.606641362,1.527261954,1,-0.675538099,-0.295557053,0.12728601,0,5907
streams,2005,212,2.132200056,1.542124295,0,-0.698632714,-0.767261934,0.019586365,0,4158
streams,2005,214,2.33904705,1.537913304,0,-0.890189847,-0.434374379,0.203123766,0,28371
streams,2005,216,2.227990815,1.583921908,0,-0.857460366,-0.308115824,0.192907672,0,9811
streams,2005,217,2.353650599,1.623110261,0,-0.759260539,-0.362007245,0.156404351,0,6318
streams,2005,219,2.171123618,1.649219612,0,-0.813086645,-0.326972548,0.186034629,0,7942
streams,2005,221,2.341571574,1.602434018,0,-0.24113378,-0.770183928,1.265083004,0,32971
streams,2005,222,2.430078569,1.59801184,0,-0.23884675,-0.506879443,0.645527436,0,12384
streams,2005,224,2.360847101,1.629240742,0,-0.21511563,-0.26383835,0.338256246,0,8836
streams,2005,225,2.491877381,1.579137621,0,-0.29905442,-0.924354443,0.602113048,0,27835
streams,2005,231,2.0104845,1.612812497,0,-0.95744953,-1.239016741,0.040208601,0,27873
streams,2005,232,2.096783053,1.611949042,0,-0.57398404,-0.423923338,0.350518528,0,12171
streams,2005,233,2.194240388,1.61761655,0,-0.554053959,-0.3194047,0.533054597,0,22540
streams,2005,234,1.946899785,1.573519921,0,-0.513669439,-0.36481547,0.377164379,0,10631
streams,2005,235,2.331204565,1.602888709,0,-0.241461713,-0.416216547,1.506698568,0,120407
streams,2005,236,1.894430582,1.609351599,0,-0.558709304,-0.43727383,0.358007317,0,14592
streams,2005,238,2.553886081,1.652891411,0,-0.202274602,-0.331260784,0.30069256,0,6889
streams,2006,1,1.877385205,1.900436741,0,-0.396786686,-0.902698353,0.428039877,0,89455
streams,2006,2,2.015215263,1.821514741,0,-0.333843436,-0.51585487,0.298200926,0,44346
streams,2006,6,1.915576142,1.715480042,0,-0.798315649,-2.288347366,0.260296107,0,576006
streams,2006,16,1.164447101,1.6333546,0,-2.145086606,-0.393865743,0.002189458,0,2894
streams,2006,17,1.6,1.742714518,0,-1.161575756,-0.172109227,0.012917895,0,464
streams,2006,24,2.24294482,1.662653822,0,-1.580255865,-0.768776555,0.022740143,0,9236
streams,2006,25,0.670993112,1.577688857,0,-1.344465106,-0.549828639,0.005558401,0,2830
streams,2006,28,1.925264941,1.675218055,0,-1.163501146,-0.699340322,0.102001887,0,7146
streams,2006,29,1.524162676,1.638454771,0,-1.198230791,-0.657941945,0.016812073,0,8827
streams,2006,34,1.683626525,1.535710496,0,-0.792162814,-0.331626305,0.16082686,0,10998
streams,2006,35,2.304476073,1.687512268,0,-0.224975758,-0.432060552,0.976504719,0,60350
streams,2006,36,1.875022803,1.804725474,0,-1.228790894,-0.278704966,0.010229781,0,972
