wb,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
99,0,0,1,0,1,1,1,2,1,1,1,1,1,1,1,0,1,2,2,0,2,2,2,2,1,3,0,0,2,0,1,4
101,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,3,0,2,0,2,2,0,2,0,2,0,0,0,2
102,1,0,1,1,1,2,1,0,0,0,2,1,0,1,0,1,4,1,1,1,4,2,2,2,0,2,0,2,2,0,0,2
105,0,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,2,0,2,2,2,2,2,0,1,1,3,4,2,1,0,0
106,1,0,1,0,0,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,1,3,2,2,2,2,2,2,2,0,0,1
107,1,1,1,0,1,1,1,1,1,2,1,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,4,4,4,1
109,0,0,1,0,3,2,1,2,1,2,1,1,0,1,2,0,0,0,2,0,2,3,2,0,1,1,2,2,0,0,0,2
110,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,4,0,1,2,2,2,2,1,1,2,2,0,0,0,2
111,1,1,1,0,1,1,1,0,1,2,2,2,2,2,2,4,2,2,0,2,2,1,0,3,0,1,1,4,2,2,1,0
113,0,0,1,0,0,1,1,1,1,2,1,1,1,1,1,2,2,4,2,0,2,2,2,2,1,2,2,1,1,1,1,1
114,1,1,2,0,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1
115,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,2,0,2,2,2,0,1,1,2,0,1,0,0,2
117,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,3,1,2,2,3,2,1,2,1
119,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
121,0,0,1,1,1,0,1,0,1,1,2,0,0,1,0,0,2,0,2,0,2,1,2,2,0,0,1,2,1,0,0,0
123,1,0,0,0,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,2,0,1,1
124,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,4,4,1
125,1,0,0,0,1,1,1,1,0,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,3,1,2,2,2,0,1,1
126,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,3,0,1,1
128,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,2,0,0,2,2,2,2,1,0,1,1,4,4,2,4,2,0
129,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,4,4,1
135,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,2,2,1,0,2,1,0,2,1,1,2,0,0,0,0,2
136,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1
137,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
139,1,0,1,0,1,1,0,2,2,2,0,1,2,1,1,2,2,2,2,2,3,2,2,2,1,3,2,1,1,1,2,2
140,1,0,1,0,0,1,1,1,1,2,1,1,2,1,1,2,2,1,4,2,2,2,2,2,1,2,2,3,2,2,4,1
141,0,0,1,0,1,0,1,1,0,2,1,0,0,1,0,0,1,0,2,2,1,2,1,2,1,2,0,1,2,0,0,2
143,1,0,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,1,2,2,1,0,2,2,1,0,0,0
144,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,3,2,2,4,3,2,1,4,1,2,2,4,2,3,2,0
145,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
146,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,0,1,1
147,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
148,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,2,1,2,1,2,2,2,2,0,1,2,2,1,0,0,2
149,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,2,1,2,2,3,2,1,2,1,1,2,4,3,3,2,1
155,1,0,1,0,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,1
156,2,0,1,0,2,1,1,1,1,1,1,3,2,1,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,1,2,2
157,1,0,1,0,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,0,2,2,2,2,1,1,2,4,1,0,0,1
158,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
159,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,4,4,2
161,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,0,1,2,2,2,0,0,2
162,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
163,1,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,2,2,2,2,0,1,2,2,1,0,0,2
166,1,0,1,0,1,2,1,1,1,3,1,1,2,1,2,4,2,1,1,2,2,2,2,2,1,1,2,2,4,2,3,1
167,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,0,1,2
169,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1,1,1,1,2,0,0,2,1,1,1,2,0
173,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,3,2,2,2,2,2,2,2,2,1,1,2,2,4,3,3,1
174,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
175,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1
176,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,4,4,1
179,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,0,1,1,2,1,1,2,2,1,2,4,2,4,2
180,0,0,0,1,1,0,1,1,0,1,1,2,0,2,2,2,2,0,1,1,2,2,1,1,1,0,2,1,2,0,0,2
181,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,3,2,2,2,2,1,4,2,1,2,1,2,4
182,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,3,4,0,0,1
183,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,1,2,1,4,2,1,0,0
184,0,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,2,2,2,2,1,3,0,0,1,0,2,4
185,1,1,1,1,1,1,1,2,1,0,2,1,1,1,4,0,3,1,1,0,2,2,0,2,0,0,2,4,2,0,0,1
187,0,0,0,1,2,3,1,3,4,2,1,0,0,0,0,0,1,1,2,1,1,1,2,1,2,0,2,1,0,2,1,3
189,1,3,1,0,1,2,1,3,1,2,1,1,2,1,0,0,2,2,1,2,2,1,2,3,1,2,2,2,1,0,0,1
190,1,0,2,2,2,0,1,2,1,2,1,2,2,1,1,0,2,4,1,1,2,4,1,2,4,2,2,4,2,1,2,2
191,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,2,0,1,0,2,4
192,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,2,1,1,1,1,0,0,4,1,1,4,4,0
193,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,3,2,0,2,1,1,1,1,0,3,1,0,1,0,1,4
194,1,0,1,0,1,0,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,2,1,2,1,1,2,0,2,0,3,4
195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0
196,1,1,1,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,2,0,2,2,1,0,1,0,2,1,0,0,0,1
197,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,0,2,1,3,1,1,3,0,2,1,4,4
198,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,0,1,2
199,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,3,2,2,2,2,2,2,2,1,1,2,2,4,0,1,4
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0
201,2,0,1,0,2,4,4,1,1,2,4,1,2,1,4,1,4,4,1,3,4,2,2,2,1,1,4,4,3,2,2,0
202,1,1,1,0,1,1,1,1,2,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
203,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,2,1,2,0,2,2,2,2,1,1,2,0,2,0,0,2
206,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2,2,0,1,3,2,2,4,2,1,2,2,2,3,0,0,1
207,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,2,1,0,4,1,1,1,1,0,0,4,4,1,4,4,1
208,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,2,1,1,0,1,1,1,1,1,0,4,1,4,1,4,4,1
210,1,0,1,0,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,4,2,2,4,1
213,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,2,2,1,0,2,1,1,2,1,0,2,2,1
214,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
215,1,0,0,1,1,0,0,0,0,2,1,1,2,0,3,4,2,2,2,1,2,2,1,2,1,2,2,3,4,0,0,3
220,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
221,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,2,0,0,2,2,2,2,0,1,2,4,0,0,0,2
222,1,0,3,0,4,0,2,1,4,3,1,2,4,4,2,1,1,0,1,0,2,2,0,2,1,1,2,4,2,0,0,1
223,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
225,1,0,1,0,1,1,1,2,1,2,1,1,2,1,2,2,2,1,4,2,2,2,1,2,4,2,2,1,2,1,3,1
226,0,0,0,0,0,1,0,1,1,3,3,2,3,1,1,2,2,1,2,2,2,2,3,2,0,1,2,0,1,0,1,2
227,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,3,1
229,1,0,1,0,1,2,1,2,1,3,1,1,2,1,2,4,1,1,2,1,2,2,2,0,1,1,2,2,1,0,1,1
231,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,2,1,2,1,0,2,0,0,4,4,2
232,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,2,2,2,2,0,1,1,0,0,2,0,1
233,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
236,1,0,1,0,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1
237,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,2,2,2,2,1,1,2,4,0,0,0,2
238,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,2,2,2,1,1,2,4,1,0,0,1
239,1,0,1,0,1,1,1,2,1,2,1,1,2,3,2,3,2,2,1,2,2,2,4,2,0,1,2,0,2,0,0,2
