v,t,N,age,D age,y,ln y
92,2008,2236.0,41.71668585,0,5.110390424417314,1.631275805292537
92,2009,2246.0,41.91251854,0,5.003291096247807,1.610095915152383
92,2010,2251.0,42.06362098,0,5.031759661747053,1.6157697562835438
92,2011,2251.0,42.23327486,0,4.945325613167883,1.598442809856887
92,2012,2277.0,42.5156465,0,4.880181053287169,1.585182320260264
92,2013,2294.0,42.83477589,0,4.959687039660606,1.6013426419035268
92,2014,2287.0,43.30454244,0,4.980790191002009,1.6055885513413193
92,2015,2299.0,43.61105324,0,5.134535579152,1.6359893970609705
92,2016,2327.0,43.86763046,0,5.183536992075773,1.645487640260971
92,2017,2339.0,44.12415416,0,5.225660477775148,1.6535811970918475
92,2018,2373.0,44.6263238,0,5.327372421000001,1.6728581374490852
92,2019,2407.0,45.12849344,1,5.427504372873787,1.6914794284583845
92,2020,2441.0,45.63066308,1,5.547470400249517,1.7133420401185369
93,1990,100217.0,37.64260473,0,4.23596024545543,1.4436100427695855
93,1991,101566.0,37.66118753,0,4.255802055484177,1.4482832414380469
93,1992,102987.0,37.66105621,0,4.273256930675969,1.4523762837276035
93,1993,104079.0,37.67857069,0,4.272813830134763,1.4522725868231419
93,1994,104914.0,37.70738617,0,4.454091086498499,1.4938230191196684
93,1995,105729.0,37.74056684,0,4.4932954117058825,1.5025863772491064
93,1996,106387.0,37.76422478,0,4.512289345240288,1.5068046400741106
93,1997,106992.0,37.78548881,0,4.554365861490141,1.5160863029060512
93,1998,107407.0,37.86218801,0,4.649519576091286,1.5367638972920834
93,1999,107969.0,38.00555985,0,4.606968762950068,1.527570105585681
93,2000,108634.0,38.09064006,0,4.635043425236221,1.5336455679569332
93,2001,109165.0,38.18329788,0,4.6717881083282045,1.5415418909717826
93,2002,109488.0,38.3240412,0,4.695951795924906,1.5467008175508163
93,2003,110214.0,38.39814106,0,4.6920599546642165,1.5458717087710174
93,2004,111136.0,38.47431646,0,4.755974146984243,1.5594015429399684
93,2005,112075.0,38.53719144,0,4.8061892497,1.5699045143375772
93,2006,112891.0,38.62934536,0,4.9260018600584115,1.5945276772984396
93,2007,113500.0,38.73941323,0,5.016764724686568,1.6127852487848955
93,2008,114124.0,38.84102578,0,4.921457112663708,1.5936046477676817
93,2009,114946.0,38.91637942,0,4.847579253570175,1.5784794573708347
93,2010,115387.0,39.00865267,0,4.918845868152197,1.5930739233422462
93,2011,116079.0,39.08697792,0,4.84765693950365,1.57849548295947
93,2012,116637.0,39.15901499,0,4.773691232224032,1.5631198488715026
93,2013,117401.0,39.23707305,0,4.844341328258586,1.5778112873410215
93,2014,118463.0,39.30129193,0,4.885515988457832,1.5862749070318114
93,2015,118943.0,39.41161186,0,5.025435732156,1.6145121630526618
93,2016,120033.0,39.48985847,0,5.045227406847458,1.6184427284779908
93,2017,120832.0,39.55719773,0,5.125978565836292,1.6343214464731863
93,2018,121822.0,39.6574979,0,5.205993418,1.6498105422611633
93,2019,122812.0,39.75779807000001,0,5.284765321003883,1.6648282136066475
93,2020,123802.0,39.85809824000001,0,5.383067009740812,1.6832582879020106
95,1990,2039.0,43.96321783,0,3.668485363594814,1.2997788694119599
95,1991,2029.0,44.21383422,0,3.686928161863924,1.3047936348918399
95,1992,2031.0,44.35127141,0,3.71610712631938,1.3126766489320199
95,1993,2053.0,44.74758452,0,3.709810199019908,1.3109807160168372
95,1994,2033.0,45.03449492,1,3.904185883594595,1.362049281043018
95,1995,2016.0,45.2620519,1,3.9054704453058826,1.3623782485849363
95,1996,2004.0,44.95991696,0,3.9767585306964035,1.380467047936775
95,1997,1992.0,45.09552678,1,3.967904123616902,1.378238026735777
95,1998,2003.0,45.48116218,1,4.028195381455049,1.3933184795029476
95,1999,2003.0,45.80846381,1,3.941201193017544,1.3714855481702735
95,2000,2008.0,45.87144994,1,3.965760086175852,1.3776975356243437
95,2001,2049.0,46.07788369,1,3.932796851253846,1.3693508397520138
95,2002,2046.0,45.97584148,1,3.9840752042403,1.382305216110532
95,2003,2056.0,46.36837715,1,3.9283115543995106,1.368209703640003
95,2004,2068.0,46.81574301,1,4.043146367374546,1.397023192668321
95,2005,2061.0,47.23293534,1,4.0915801219666665,1.4089312333346042
95,2006,2081.0,47.40968396,1,4.307411507310748,1.4603371453460636
95,2007,2036.0,47.54317393,1,4.388194722362802,1.478917917536598
95,2008,2024.0,48.1752808,1,4.270501936079912,1.4517313697653744
95,2009,2005.0,48.66722062,1,4.087691965614035,1.4079804991851905
95,2010,1987.0,48.77104534,1,4.177677372658092,1.4297554396304786
95,2011,1945.0,49.41881402,1,4.149779033591241,1.4230550879072725
95,2012,1924.0,50.15065692,1,4.171439540437882,1.4282611897724922
95,2013,1920.0,50.19683779,1,4.153803987836364,1.4240245379747842
95,2014,1880.0,50.63995406,1,4.151322039512048,1.423426847249796
95,2015,1877.0,50.93810797,1,4.213179900972,1.4382176834789822
95,2016,1867.0,51.34960411,1,4.202684304683948,1.4357234413018558
95,2017,1858.0,51.36311678,1,4.262054257944773,1.4497512642253243
95,2018,1853.0,51.7893843,1,4.315718167,1.4622637456808305
95,2019,1848.0,52.215651820000005,1,4.368548461933981,1.4744307941897257
95,2020,1843.0,52.64191934000001,1,4.437665246528048,1.4901283927624007
96,1990,4382.0,39.4141117,0,4.449969717231767,1.492897291038537
96,1991,4398.0,39.54812607,0,4.517435756661392,1.5079445223895227
96,1992,4444.0,39.76492704,0,4.516181773665116,1.507666896510384
96,1993,4424.0,39.88569767,0,4.496385465531394,1.5032738441323938
96,1994,4461.0,40.13959389,0,4.664655089216216,1.5400138957065848
96,1995,4529.0,40.27659952,0,4.705124694920588,1.5486522753260241
96,1996,4557.0,40.21737802,0,4.756294234808633,1.5594688429385941
96,1997,4580.0,40.40927753,0,4.8313271417718315,1.5751212004751407
96,1998,4571.0,40.33756639,0,4.881065069341632,1.5853634479658405
96,1999,4586.0,40.58281884,0,4.8512656044669376,1.579239620282652
96,2000,4593.0,40.76789734,0,4.884858534141731,1.5861403258413826
96,2001,4601.0,40.93982129,0,4.9347262557743585,1.5962972013923928
96,2002,4597.0,41.04400966,0,4.939034498483104,1.5971698664466474
96,2003,4646.0,41.31822807,0,4.9205938859926475,1.5934292317546186
96,2004,4669.0,41.39872727,0,5.038497927968485,1.6171080074984785
96,2005,4665.0,41.65699876,0,5.028492570266667,1.615120251376531
96,2006,4673.0,41.88249431,0,5.249446649116822,1.65812267088032
96,2007,4675.0,42.2054467,0,5.383641364769232,1.6833649788253617
96,2008,4690.0,42.53558835,0,5.230884649778025,1.6545804128698727
96,2009,4666.0,42.89471771,0,5.1660566282807014,1.6421096563403796
96,2010,4707.0,43.1757763,0,5.222081610651662,1.6528960983914436
96,2011,4742.0,43.61653422,0,5.068845964394161,1.623113171258552
96,2012,4764.0,43.99786614,0,5.093950952230142,1.6280537479734434
96,2013,4821.0,44.33738277,0,5.144080348046465,1.6378466065735304
96,2014,4822.0,44.73765314,0,5.182983635540161,1.6453808818690256
96,2015,4913.0,44.86295678,0,5.225434080356,1.6535378719802194
96,2016,4946.0,45.21115028,1,5.403699373477567,1.6870837881799794
96,2017,4912.0,45.48269279,1,5.350330003473372,1.677158241897823
96,2018,4954.0,45.89424366,1,5.434959181,1.6928520101493854
96,2019,4996.0,46.30579453,1,5.5182737305262135,1.708065081401652
96,2020,5038.0,46.7173454,1,5.621968667216635,1.726681899223814
101,1990,1182.0,35.67560907,0,4.800834766748784,1.5687898125326294
101,1991,1192.0,35.94648446,0,4.904277609620253,1.5901078058449571
101,1992,1199.0,36.41450404,0,5.0093098346666665,1.6112981480557669
101,1993,1197.0,36.87805324,0,5.153897424480858,1.6397532099135472
101,1994,1201.0,36.97621506,0,5.351089393348349,1.677300165104099
101,1995,1197.0,36.93222112,0,5.4327808976617655,1.6924511386983498
101,1996,1199.0,37.19444762,0,5.433551503729497,1.6925929723990978
101,1997,1202.0,37.37544121,0,5.454659392276057,1.6964701777895106
101,1998,1224.0,37.37252959,0,5.660517837972337,1.7335153788378963
101,1999,1249.0,37.38845602,0,5.6421243014089075,1.7302606437814454
101,2000,1260.0,37.46184944,0,5.652478423501313,1.7320941080023862
101,2001,1272.0,37.79530386,0,5.685992715541025,1.7380057321061135
101,2002,1286.0,38.29040672,0,5.588675387121402,1.7207422979283142
101,2003,1293.0,38.65400637,0,5.57832345049755,1.7188882743469212
101,2004,1302.0,38.66216865,0,5.727784524763636,1.7453288110673306
101,2005,1337.0,38.76451996,0,5.807643980050001,1.759174977442926
101,2006,1341.0,39.10672771,0,6.206429534268692,1.8255857763717824
101,2007,1335.0,39.40825495,0,6.367208430539611,1.8511611365662355
101,2008,1373.0,39.56876128,0,6.11515145772697,1.8107695370624932
101,2009,1407.0,39.6059077,0,5.831869097510964,1.7633375488973468
101,2010,1405.0,39.93161091,0,6.014677047560558,1.794202656806592
101,2011,1426.0,40.39557661,0,5.835224154569342,1.7639126805224004
101,2012,1441.0,40.71353343,0,5.899166185549898,1.77481101644136
101,2013,1451.0,41.06001043,0,5.736633555121212,1.7468725496248887
101,2014,1454.0,41.43696693,0,5.417031209094379,1.6895479179835846
101,2015,1484.0,41.6994473,0,6.102291101815999,1.8086642911244637
101,2016,1493.0,42.08057383,0,6.023126233010967,1.7956064323362244
101,2017,1500.0,42.35739701,0,6.080645838477318,1.8051109137705357
101,2018,1502.0,42.88701352,0,6.166132312999999,1.8190717877157268
101,2019,1504.0,43.41663003000001,0,6.250290842287378,1.832627997431582
101,2020,1506.0,43.94624654000001,0,6.357651751669245,1.8496590877373607
