v,t,income,age,N
145,1993,326529.6055,34.84478117,25019
146,1993,304737.962,37.86200375,5802
147,1993,279008.7691,36.32680405,106195
154,1993,240163.5185,40.70208095,1047
232,1993,277073.8764,38.21596783,11791
235,1993,274303.3964,37.92723493,109977
238,1993,278370.1913,37.60062412,6113
157,1993,274620.3379,37.84084661,27984
158,1993,275025.1999,37.74966418,19323
159,1993,268857.1503,38.36530969,8892
160,1993,275647.5591,38.71084937,6079
200,1993,331950.425,38.72225803,25591
204,1993,282547.2389,38.23917595,37697
206,1993,266308.2697,40.12684487,7341
207,1993,244021.1013,41.77389893,10611
208,1993,252641.3818,41.12764751,5672
209,1993,267025.1177,41.44175382,5371
212,1993,270091.2854,40.83645371,3873
231,1993,280450.833,38.78852676,25280
219,1993,282035.0267,40.76447411,7040
221,1993,275773.05,38.12668955,30776
222,1993,269038.6322,39.26793247,11583
225,1993,281960.1209,37.9609853,26649
130,1993,289541.1242,36.73098633,936
236,1993,274752.4689,38.97552284,13859
233,1993,274762.3883,38.36177171,21376
234,1993,267295.693,39.33095526,10325
224,1993,271592.3842,39.5544649,7978
217,1993,274365.8141,39.75229572,5854
201,1993,340221.15,35.5122538,118458
90,1993,275640.7285,39.18509291,5498
165,1993,302805.9469,37.4714021,31195
216,1993,275667.7324,38.95599559,9597
48,1993,266331.3307,41.67116625,5441
46,1993,293360.3679,39.24859446,5669
121,1993,293136.8337,36.75338717,70724
214,1993,266241.4448,39.50658289,26209
1,1994,388476.55,36.74615409,77756
2,1994,354658.8418,37.45486137,39676
6,1994,298496.8471,40.04810901,556217
16,1994,311086.9093,39.44291765,2714
17,1994,310639.8957,37.36473979,462
18,1994,304804.5614,41.3060338,267
24,1994,308302.3383,39.84104253,8058
25,1994,289512.7795,40.07466586,2572
28,1994,312261.1005,39.43264682,6244
29,1994,300631.0838,39.81451825,8045
34,1994,267171.6079,42.16609908,10615
35,1994,307174.9381,38.51805968,54163
36,1994,335199.7985,37.78312831,845
37,1994,308207.2042,36.67417387,3478
38,1994,273491.5776,40.79158266,14566
44,1994,283453.2576,41.16138235,1118
45,1994,273799.2345,42.40382215,9834
47,1994,301177.2526,39.91255124,4032
49,1994,272241.2465,42.91917192,838
56,1994,273174.6915,40.26535464,19712
57,1994,252547.7257,45.10259301,42
59,1994,297292.4781,39.07488679,1271
62,1994,312548.95,40.61098901,125
68,1994,246421.1939,42.87271849,518
72,1994,241463.0779,46.25615861,1193
74,1994,311141.3436,37.79397163,4753
80,1994,300001.1546,39.18406147,2047
82,1994,288380.2676,37.1382465,1082
83,1994,322172.2984,37.64965518,7324
84,1994,319059.7919,39.62693529,1668
85,1994,319196.0264,37.0254523,1660
86,1994,286492.3895,40.49077645,4861
87,1994,299391.4203,40.26916794,5398
89,1994,301214.5373,40.48736554,469
92,1994,309414.3851,38.92451103,2055
93,1994,290256.8164,37.70738617,104914
95,1994,254421.5067,45.03449492,2033
96,1994,303978.5019,40.13959389,4461
101,1994,348710.9135,36.97621506,1201
102,1994,294181.1791,39.21455596,8724
103,1994,304503.8574,38.29274408,2597
104,1994,319916.1884,36.32794824,3128
105,1994,293558.6296,39.03204428,8362
106,1994,284912.8846,39.02011779,13696
107,1994,294788.7846,37.28764235,3043
108,1994,305197.1956,38.20849354,569
109,1994,305205.5471,38.24034645,2538
110,1994,331126.655,38.05955686,3513
111,1994,301353.0367,37.34856474,25599
113,1994,331881.7973,37.62852905,2405
114,1994,286004.0522,39.11105268,9327
119,1994,306426.0707,38.60249131,1516
120,1994,305467.788,37.38938893,30256
122,1994,344353.7095,37.52340565,10668
123,1994,307384.5333,38.27662921,28421
124,1994,305449.3945,37.78220932,27513
125,1994,401263.4173,35.66465308,2046
127,1994,310292.1739,41.36938101,640
128,1994,303493.6893,37.38347297,33546
129,1994,286427.2205,38.55054192,2764
131,1994,312502.2542,36.85470055,45291
132,1994,315593.8196,36.99774972,51455
133,1994,342568.5445,35.91943053,1208
136,1994,308016.2912,37.54692568,128873
137,1994,292642.4443,38.89934134,2559
138,1994,283059.6143,39.28906834,2386
139,1994,265297.5333,38.82035928,75
140,1994,298011.0484,38.92683528,16161
141,1994,302937.4294,40.00887746,2788
142,1994,246499.4784,44.60023041,45
144,1994,293267.252,43.21431939,502
145,1994,341990.8798,34.99017919,25620
146,1994,324512.7779,37.98596074,5844
147,1994,296844.6374,36.27405227,107351
154,1994,263136.4733,40.8566264,1047
232,1994,296474.9104,38.28235647,11844
235,1994,290923.9557,37.95165852,111059
238,1994,299620.5731,37.7681065,6129
157,1994,293877.4764,37.87829453,28278
158,1994,296692.6903,37.86102569,19410
159,1994,289455.5665,38.42191388,8938
160,1994,298400.019,38.83184722,6097
200,1994,349904.3515,38.97393993,26091
204,1994,299619.5572,38.24056112,38094
206,1994,282085.9069,40.15108835,7352
207,1994,259330.1268,41.73744337,10607
208,1994,269684.8295,41.28765659,5686
209,1994,278651.3497,41.84274637,5468
212,1994,283227.9467,41.19529941,3933
231,1994,297436.6204,38.79915504,25407
219,1994,299123.9527,40.95328733,7093
221,1994,294314.03,38.21748259,30998
222,1994,288128.713,39.27518216,11622
225,1994,299655.3596,38.20675813,26754
130,1994,309784.9256,36.93742127,947
236,1994,292539.7308,38.97246038,13981
233,1994,292738.0455,38.49031398,21470
234,1994,284878.8505,39.46492407,10383
224,1994,291249.2585,39.53509808,8040
217,1994,298541.2307,39.90814484,5906
201,1994,353517.0162,35.74146352,119585
90,1994,292379.7547,39.15568,5530
165,1994,322023.9081,37.70146245,31523
216,1994,293091.6301,39.05514987,9608
48,1994,284421.8351,41.84448929,5487
46,1994,309829.921,39.31817158,5725
121,1994,310996.9928,36.88269545,71328
214,1994,280688.2346,39.60282554,26466
1,1995,399710.9899,36.99071458,78747
2,1995,366842.001,37.60049004,40154
6,1995,308599.4123,39.83747681,559315
16,1995,317547.9226,39.68172058,2708
17,1995,328097.2833,37.23421051,461
18,1995,314412.9138,41.46394344,268
24,1995,316430.5464,40.16778165,8218
25,1995,294728.7613,40.49288213,2605
28,1995,319192.5504,39.72690102,6372
29,1995,309046.148,39.93340425,8134
34,1995,276385.0797,42.23138187,10692
35,1995,318402.3784,38.60350099,54600
36,1995,346917.2174,38.02337339,848
37,1995,318037.5004,36.94432495,3498
38,1995,279485.6462,40.88317507,14561
44,1995,285558.1892,41.62280876,1119
45,1995,280463.9149,42.61871197,9912
47,1995,313607.7536,40.10854807,4066
49,1995,274495.7301,42.96291673,869
56,1995,280255.4456,40.45511679,19808
57,1995,267586.0273,45.60829493,42
59,1995,311346.4016,38.72891887,1264
