ObservationsstedNr,X_UTM32,Y_UTM32
15000054,569424,6275849
15000055,567541,6283249
15000057,568687,6276814
15000058,564324,6274162
15000059,568715,6279291
15000060,564995,6274225
15000061,569837,6278057
15000062,561337,6273064
15000063,570233,6276478
15000064,569951,6278584
15000065,565025,6276071
15000066,564014,6273413
15000067,567167,6281540
15000069,558940,6287606
15000070,570984,6316983
15000071,572562,6312236
15000072,570525,6313898
15000073,561180,6283294
15000076,577062,6314206
15000077,570030,6303595
15000104,558661,6288712
15000105,552394,6279538
15000106,564019,6272952
15000108,577478,6289768
15000109,559396,6286482
15000110,574767,6315572
15000143,562111,6278795
15000144,560012,6285105
15000145,561098,6284195
15000280,576033,6287517
15001034,548864,6277638
16000023,470133,6259807
16000024,468384,6266258
16000025,476502,6259041
16000028,458099,6266640
16000029,470664,6259653
16000030,502632,6277454
16000031,498386,6278849
16000032,489838,6269249
16000033,491863,6269065
16000034,495826,6281012
16000052,496927,6280434
16000053,484167,6256058
16000054,499356,6291297
16000055,504710,6286765
16000056,474302,6261184
16000070,496881,6280484
16000105,504570,6286917
16000109,505152,6281883
16000110,505290,6281129
16000111,456308,6267787
16000112,492822,6275522
16000113,468542,6258099
16000114,507910,6176686
16000115,468798,6258659
16000116,469137,6258948
16000119,488279,6270229
16000120,488631,6272847
16000121,507910,6176686
16000123,497050,6294690
16000124,496865,6289432
16000125,496200,6290953
16000126,501386,6274434
16000127,499706,6276581
16000128,497739,6298431
16000129,484184,6270004
16000130,446748,6266631
16000132,468892,6258684
16000133,470029,6257814
16000134,492021,6281201
16000135,492900,6278237
16000136,492728,6280328
16000138,490279,6276333
16000139,447614,6268089
16000140,449343,6267388
16000141,504018,6280131
16000142,504231,6276824
16000143,500735,6275052
16000144,500149,6277485
16000145,502295,6274447
16000146,500651,6276610
16000147,500938,6280142
16000148,493357,6286931
16000149,495235,6287051
16000150,498996,6285601
16000151,500326,6287565
16000152,499089,6285696
16000154,483480,6253690
16000155,483955,6253680
16000156,484605,6253273
16000158,446152,6266285
16000159,504804,6286944
16000160,503515,6287353
16000161,501707,6288122
16000162,498980,6291663
16000163,500834,6289767
16000165,452729,6269420
16000166,478223,6256132
16000167,477786,6255719
16000168,478808,6258066
16000169,494028,6269533
16000170,493911,6270131
16000176,467415,6263642
16000177,507910,6176686
16000180,489816,6279486
16000181,491105,6279541
16000183,475879,6258335
16000184,475233,6257060
16000185,474459,6256115
16000188,474811,6257039
16000189,489285,6278036
16000190,495890,6284198
16000191,502870,6280393
16000192,502266,6278219
16000193,503684,6276418
16000194,491761,6267296
16000195,506293,6280981
16000196,507289,6282038
16000197,501384,6291030
16000198,503189,6290469
16000199,493628,6288558
16000200,494850,6290544
16000202,507910,6176686
16000203,498026,6278117
16000204,486944,6269722
16000205,493891,6275908
16000207,469995,6266400
16000209,470661,6264077
16000210,471649,6265931
16000211,493797,6272095
16000212,503121,6285000
16000213,487415,6281597
16000214,492555,6276996
16000215,490662,6278158
16000216,491327,6277554
16000217,489535,6279440
16000218,492432,6266592
16000219,485932,6260155
16000220,487420,6259508
