ObservationsstedNr,X_UTM32,Y_UTM32
2000828,507910,6176686
2000829,584169,6380854
2000830,507910,6176686
2000831,584384,6380898
2000832,507910,6176686
2000833,585264,6373957
2000834,507910,6176686
2000835,507910,6176686
2000836,507910,6176686
2000837,582422,6374801
2000838,507910,6176686
2000839,585620,6374096
2000840,507910,6176686
2000841,582399,6378664
2000842,507910,6176686
2000843,579790,6378426
2000844,507910,6176686
2000845,581267,6377131
2000846,507910,6176686
2000847,583643,6379591
2000848,507910,6176686
2000849,586193,6373510
2000850,507910,6176686
2000851,584781,6372843
2000852,507910,6176686
2000853,582307,6374966
2000854,507910,6176686
2000855,507910,6176686
2000856,507910,6176686
2000857,583295,6377200
2000858,507910,6176686
2000859,587724,6362755
2000860,507910,6176686
2000862,593079,6344196
2000863,593079,6344196
2000864,590750,6341538
2000865,590750,6341537
2000866,593314,6344720
2000867,593314,6344720
2000868,593270,6345374
2000869,593270,6345374
2000870,591840,6342227
2000871,591840,6342227
2000872,592277,6343360
2000873,592276,6343359
2000874,591921,6342418
2000875,591921,6342418
2000876,587521,6338481
2000877,587521,6338480
2000892,582501,6348688
2000893,582545,6348539
2000894,582534,6348372
2000895,618407,6350025
2000896,618407,6350025
2000897,619058,6349932
2000898,619058,6349932
2000899,619528,6349932
2000900,619528,6349932
2000901,507910,6176686
2000902,507910,6176686
2000903,617402,6351135
2000904,507910,6176686
2000905,620170,6344979
2000906,620170,6344979
2000907,579666,6371933
2000908,579580,6372391
2000909,579638,6372394
2000910,579892,6372023
2000911,590608,6371038
2000912,507910,6176686
2000913,579392,6372373
2000914,579392,6372373
2000915,590664,6371734
2000916,507910,6176686
2000917,507910,6176686
2000918,507910,6176686
2000919,590490,6371859
2000920,507910,6176686
2000921,507910,6176686
2000922,507910,6176686
2000923,587409,6362880
2000924,587409,6362880
2000925,587391,6362840
2000926,587391,6362840
2000927,587503,6362605
2000928,587503,6362605
2000929,587377,6362812
2000930,591840,6342227
2000931,587377,6362812
2000932,596717,6400698
2000933,594712,6400834
2000934,594712,6400834
2000935,594678,6400873
2000936,594678,6400873
2000937,594603,6400844
2000938,594603,6400844
2000944,619496,6352919
2000945,625837,6348940
2000946,625837,6348940
2000947,631771,6355101
2000948,631771,6355101
2000949,631819,6355146
2000950,631819,6355146
2000951,631840,6355053
2000952,631840,6355053
2000953,631898,6354871
2000954,631898,6354871
2000955,631758,6354771
2000956,631758,6354771
2000957,631758,6354699
2000958,631758,6354699
2000959,631794,6354611
2000960,631794,6354611
2000961,622858,6346837
2000962,622858,6346837
2000963,630564,6353701
2000964,630564,6353701
2000965,625696,6348334
2000966,625696,6348334
2000967,625619,6348064
2000968,625619,6348064
2000969,625340,6348132
2000970,625340,6348132
2000971,625452,6347958
2000972,625452,6347958
2000973,622318,6346558
2000974,622318,6346558
2000975,623897,6346527
2000976,623897,6346527
2000977,623078,6353465
2000978,623078,6353465
2000979,618590,6352765
2000980,618590,6352765
2000981,619537,6352823
2000982,619537,6352823
2000983,619290,6352892
2000984,619290,6352892
2000989,582563,6348382
2000992,507910,6176686
2000993,507910,6176686
2000994,507910,6176686
2000995,507910,6176686
2000996,507910,6176686
2000997,507910,6176686
2000998,507910,6176686
2000999,507910,6176686
2001000,507910,6176686
2001001,507910,6176686
2001002,507910,6176686
2001003,507910,6176686
2001004,507910,6176686
2001005,507910,6176686
2001006,507910,6176686
2001007,507910,6176686
2001008,507910,6176686
2001009,507910,6176686
2001015,579796,6371952
2001016,583424,6373380
2001017,579180,6379289
2001018,590504,6371025
2001019,613865,6346825
2001020,614251,6349101
2001021,624376,6346844
2001022,620085,6346380
2001023,614362,6349301
2001024,619572,6343596
2001025,624489,6345892
2001026,625298,6350185
2001027,624025,6347262
2001028,630503,6352902
2001029,617402,6351135
2001030,630911,6353156
2001031,630868,6353141
2001032,623008,6353038
2001037,620170,6344979
3000004,560766,6360897
3000008,570162,6383758
3000126,560766,6360897
3000128,566058,6378058
3000129,566058,6378058
3000130,569789,6364251
3000131,569789,6364251
3000132,572220,6373449
3000133,572220,6373449
3000136,507910,6176686
3000137,570522,6383279
3000138,570162,6383758
3000139,507910,6176686
3000140,507910,6176686
3000141,568506,6383447
3000142,568921,6383517
3000143,568733,6383487
3000144,566257,6382396
3000145,507910,6176686
3000146,507910,6176686
3000460,575977,6367654
3000461,575977,6367654
3000462,507910,6176686
3000463,507910,6176686
3000474,543617,6278936
3000475,507910,6176686
3000477,507910,6176686
3000478,507910,6176686
3000479,507910,6176686
3000480,507910,6176686
3000481,507910,6176686
3000482,507910,6176686
3000483,507910,6176686
3000484,507910,6176686
4000001,553504,6372423
4000006,552668,6375452
4000007,541660,6348635
4000076,553504,6372423
4000077,556632,6364978
4000078,556632,6364978
4000079,558887,6360546
4000080,558887,6360546
4000081,541668,6348532
4000082,552658,6375440
4000085,554056,6376433
4000086,553000,6375923
4000324,507910,6176686
4000325,507910,6176686
4000328,554056,6376433
4000329,507910,6176686
4000330,507910,6176686
5000073,573599,6357538
5000074,573599,6357538
5000075,571800,6361752
5000076,571800,6361752
5000077,507910,6176686
5000300,590289,6341266
5000301,590288,6341266
6000007,543321,6348031
